ISD Code,ISD Name,District Code,District Name,County Code,County Name,Entity Type,School Level,Locale,Fiscal Year,Revenue,Expenditures,Fund Balance,Years in Deficit,Pupil FTE Count,Resident Pupils Leaving,Non-Resident Pupils Coming,Current Ratio,Current Ratio Quartile,Fund Balance Change,Fund Balance Change Quartile,Operating Margin,Operating Margin Quartile,Debt Service Coverage Ratio,Debt Service Coverage Ratio Quartile,Days Cash on Hand,Days Cash on Hand Quartile,Fund Balance as % of Revenue,Fund Balance as % of Revenue Quartile,Fund Balance as % of Expenditure,Fund Balance as % of Expenditure Quartile,Revenue/Expenditure Ratio,Revenue/Expenditure Ratio Quartile,Enrollment Trend,Enrollment Trend Quartile,Compensation Trend,Compensation Trend Quartile
"56","Midland County Educational Service Agency","56903","Academic and Career Education Academy","56","Midland","PSA District","High School","Rural: Fringe","2021","990353.41","943713.25","310316.96","0.00","82.41",,"81.00","5.45","1","17.69","3","4.71","3",,,"87.96","2.00","31.33","1","32.89","2","1.05","2","-13.06","4",,
"82","Wayne RESA","82921","Academy for Business and Technology","82","Wayne","PSA District","Elem thru High School","Suburb: Large","2021","6416253.54","5859223.96","1000101.96","0.00","531.23",,"532.00","2.27","2","125.72","1","8.91","2","1.82","1","36.28","4.00","15.59","3","18.32","3","1.1","1","-4.41","3",,
"50","Macomb ISD","50040","Anchor Bay School District","74","St. Clair","LEA District","Elem thru High School","Suburb: Large","2021","65215367.02","64064567.93","2967560.69","0.00","5396.69","596.05","550.51","1.21","4","63.34","1","1.77","4","67.62","4","38.02","4.00","4.55","4","4.67","4","1.02","3","-7.11","4","1.83","2"
"81","Washtenaw ISD","81904","Ann Arbor Learning Community","81","Washtenaw","PSA District","Elem thru High School","Suburb: Large","2021","3088406.03","2982419.59","45838.33","0.00","270.14",,"273.00","1.08","4","176.21","1","3.43","3",,,"8.52","4.00","1.48","4","1.55","4","1.04","3","-14.8","4",,
"81","Washtenaw ISD","81010","Ann Arbor Public Schools","81","Washtenaw","LEA District","Elem thru High School","City: Midsize","2021","275135678.37","272637846.79","22226490.99","0.00","17262.63","1560.88","2197.12","1.63","3","12.66","4","0.96","4","12.74","3","42.74","4.00","8.08","4","8.41","4","1.01","4","-3.55","2","6.96","4"
"13","Calhoun Intermediate School District","13901","Arbor Academy","13","Calhoun","PSA District","Elem_Middle School","City: Small","2021","2050534.15","2050534.15","0.00",,"190.86",,"191.00","1","4",,,"0.41","4",,,"1.62","4.00",,,,,"1","4","-6.62","3",,
"50","Macomb ISD","50050","Armada Area Schools","50","Macomb","LEA District","Elem thru High School","Rural: Distant","2021","19922185.91","19298159.42","1935232.19","0.00","1717.62","118.99","518.67","1.58","4","47.59","2","3.15","3","47.36","4","43.41","4.00","9.71","4","10.42","4","1.03","3","-3.82","3","7.1","4"
"50","Macomb ISD","50905","Arts Academy in the Woods","50","Macomb","PSA District","Middle_High School","Suburb: Large","2021","3728882.53","3668801.82","219792.38","0.00","273.89",,"275.71","1.34","4","37.62","2","6.35","2","5.13","1","12.86","4.00","5.89","4","6.35","4","1.02","3","-14.47","4","-2.02","1"
"63","Oakland Schools","63915","Arts and Technology Academy of Pontiac","63","Oakland","PSA District","Elem thru High School","City: Small","2021","8727338.00","8822358.00","1032713.00","0.00","749.19",,"773.00","1.76","3","-8.43","4","8.96","2","11.36","3","17.55","4.00","11.83","4","14.33","4","0.99","4","-7.07","4",,
"31","Copper Country ISD","07010","Arvon Township School District","07","Baraga","LEA District","Elem_Middle School","Rural: Remote","2021","366576.00","371931.00","551988.00","0.00","9.00","13.00","2.00","106","1","-0.96","4","-0.24","4",,,"529.63","1.00","150.58","1","152.79","1","0.99","4","-30.77","4","5.24","3"
"29","Gratiot-Isabella RESD","29020","Ashley Community Schools","29","Gratiot","LEA District","Elem thru High School","Rural: Distant","2021","2978361.93","2741625.50","710699.47","0.00","245.32","67.20","70.50","2.01","3","49.95","2","7.95","2","16.17","4","118.94","1.00","23.86","2","26.23","2","1.09","1","-1.61","2","2.2","2"
"13","Calhoun Intermediate School District","13050","Athens Area Schools","13","Calhoun","LEA District","Elem thru High School","Rural: Distant","2021","6035657.93","5806891.03","1545298.96","0.00","476.31","269.18","71.77","2.55","2","17.38","3","3.79","3","2.18","1","94.21","2.00","25.6","2","26.76","2","1.04","3","-8.44","4","1.58","2"
"25","Genesee ISD","25130","Atherton Community Schools","25","Genesee","LEA District","Elem thru High School","Suburb: Large","2021","9666478.47","8602977.90","2534194.23","0.00","730.43","448.80","284.00","3.52","1","72.31","1","11","1","6.34","2","77.94","2.00","26.22","2","29.53","2","1.12","1","-11.65","4","-3.4","1"
"04","Alpena-Montmorency-Alcona ESD","60010","Atlanta Community Schools","60","Montmorency","LEA District","Elem thru High School","Rural: Remote","2021","3110243.11","2848932.83","583667.16","0.00","232.83","104.23","1.00","3.74","1","81.06","1","8.4","2","14.98","3","62.54","3.00","18.77","3","21.36","3","1.09","1","-7.45","4","-2.67","1"
"09","Bay-Arenac ISD","06020","Au Gres-Sims School District","06","Arenac","LEA District","Elem thru High School","Rural: Remote","2021","4682671.27","4598582.48","1534145.77","0.00","396.57","82.75","55.00","1.14","4","5.8","4","2.22","4","9.47","2","155.29","1.00","32.76","1","33.79","2","1.02","3","1.23","1","-7.75","1"
"50","Macomb ISD","50911","Academy of Warren","50","Macomb","PSA District","Elem_Middle School","City: Midsize","2021","8065085.00","7663650.00","2245006.00","0.00","638.06",,"639.50","5.28","1","21.77","3","18.56","1","5.58","1","53.31","3.00","27.84","2","35.3","1","1.05","2","-8.14","4",,
"82","Wayne RESA","82717","Achieve Charter Academy","82","Wayne","PSA District","Elem_Middle School","Rural: Fringe","2021","7169393.00","7147589.00","48885.00","0.00","793.52",,"792.00","1.04","4","80.51","1","0.3","4",,,"2.43","4.00","0.68","4","0.68","4","1","4","0.32","1",,
"31","Copper Country ISD","31020","Adams Township School District","31","Houghton","LEA District","Elem thru High School","Rural: Distant","2021","5209745.05","4735071.87","849395.58","0.00","451.08","122.42","144.84","1.7","3","126.67","1","9.69","1","26.5","4","80.11","2.00","16.3","3","18.55","3","1.1","1","-7.58","4","6.86","4"
"46","Lenawee ISD","46020","Addison Community Schools","46","Lenawee","LEA District","Elem thru High School","Rural: Distant","2021","9170514.66","8590285.39","1070563.57","0.00","758.00","407.12","163.00","1.68","3","118.33","1","6.33","2","14.49","3","66.08","3.00","11.67","4","12.73","4","1.07","2","-5.24","3","-0.65","2"
