ISD Code,ISD Name,District Code,District Name,County Code,County Name,Entity Type,School Level,Locale,Fiscal Year,Revenue,Expenditures,Fund Balance,Years in Deficit,Pupil FTE Count,Resident Pupils Leaving,Non-Resident Pupils Coming,Current Ratio,Current Ratio Quartile,Fund Balance Change,Fund Balance Change Quartile,Operating Margin,Operating Margin Quartile,Debt Service Coverage Ratio,Debt Service Coverage Ratio Quartile,Days Cash on Hand,Days Cash on Hand Quartile,Fund Balance as % of Revenue,Fund Balance as % of Revenue Quartile,Fund Balance as % of Expenditure,Fund Balance as % of Expenditure Quartile,Revenue/Expenditure Ratio,Revenue/Expenditure Ratio Quartile,Enrollment Trend,Enrollment Trend Quartile,Compensation Trend,Compensation Trend Quartile
"56","Midland County Educational Service Agency","56903","Academic and Career Education Academy","56","Midland","PSA District","High School","Rural: Fringe","2019","1005692.19","977247.58","251324.00","0.00","110.18",,"106.32","5.3","1","12.76","2","2.83","2",,,"35.26","3.00","24.99","1","26.02","2","1.03","2","1.09","2",,
"82","Wayne RESA","82921","Academy for Business and Technology","82","Wayne","PSA District","Elem thru High School","Suburb: Large","2019","5803725.14","6094723.83","382257.57","0.00","516.38",,"515.00","1.54","3","-43.22","4","-5.01","4","1.62","1","4.06","4.00","6.59","4","6.92","4","0.95","4","-12.48","4",,
"50","Macomb ISD","50040","Anchor Bay School District","74","St. Clair","LEA District","Elem thru High School","Suburb: Large","2019","59428712.91","60212971.04","4792177.32","0.00","5979.51","567.92","533.50","1.58","3","-14.06","4","-1.32","4","31.38","4","20.16","4.00","8.06","4","8.05","4","0.99","4","-0.42","2","3.32","4"
"81","Washtenaw ISD","81904","Ann Arbor Learning Community","81","Washtenaw","PSA District","Elem thru High School","Suburb: Large","2019","1771238.37","1782668.59","50509.02","0.00","206.94",,"208.00","1.15","4","-18.45","4","-0.65","4",,,"10.53","4.00","2.85","4","2.85","4","0.99","4","160.17","1",,
"81","Washtenaw ISD","81010","Ann Arbor Public Schools","81","Washtenaw","LEA District","Elem thru High School","City: Midsize","2019","256379017.75","257196423.56","17542843.83","0.00","17962.31","1588.91","2065.79","1.58","3","-4.45","4","-0.25","4","7.85","2","30.60","3.00","6.84","4","6.86","4","1","3","1.31","2","-13.22","1"
"13","Calhoun Intermediate School District","13901","Arbor Academy","13","Calhoun","PSA District","Elem_Middle School","City: Small","2019","2002814.51","2002814.51","0.00",,"214.99",,"214.00","1","4",,,"0.04","4",,,"27.38","4.00",,,,,"1","3","1.76","1",,
"50","Macomb ISD","50050","Armada Area Schools","50","Macomb","LEA District","Elem thru High School","Rural: Distant","2019","17294738.42","17415909.10","1584560.22","0.00","1759.86","101.69","494.98","1.68","3","-7.1","4","-0.68","4","28.84","4","23.43","4.00","9.16","3","9.3","4","0.99","4","-4.04","4","0.99","3"
"50","Macomb ISD","50905","Arts Academy in the Woods","50","Macomb","PSA District","Middle_High School","Suburb: Large","2019","3352558.66","3373533.34","319913.02","0.00","314.82",,"350.59","1.49","3","-6.15","4","5.64","1","5.71","1","39.83","3.00","9.54","3","10.22","3","0.99","4","-7.11","4","7.33","4"
"63","Oakland Schools","63915","Arts and Technology Academy of Pontiac","63","Oakland","PSA District","Elem thru High School","City: Small","2019","8288026.00","8041369.00","1075974.00","0.00","832.47",,"844.00","1.93","3","29.74","1","14.76","1","11.65","3","33.75","3.00","12.98","3","16.04","3","1.03","2","16.03","1","99.36","4"
"31","Copper Country ISD","07010","Arvon Township School District","07","Baraga","LEA District","Elem_Middle School","Rural: Remote","2019","338036.00","373502.00","624442.00","0.00","10.00","18.00","3.00","31.1","1","-5.37","4","-8.13","4",,,"616.09","1.00","184.73","1","173.29","1","0.91","4","-23.08","4","0.25","3"
"29","Gratiot-Isabella RESD","29020","Ashley Community Schools","29","Gratiot","LEA District","Elem thru High School","Rural: Distant","2019","2842002.75","2776151.60","393822.88","0.00","258.95","65.10","64.00","1.73","3","20.08","2","2.32","2","17.13","4","54.57","2.00","13.86","3","14.35","3","1.02","2","0.6","2","-7.79","1"
"13","Calhoun Intermediate School District","13050","Athens Area Schools","13","Calhoun","LEA District","Elem thru High School","Rural: Distant","2019","5645013.48","5417388.08","1074209.23","0.00","543.57","272.97","93.51","2.2","2","26.89","1","4.04","2","4.46","1","67.87","2.00","19.03","2","20.77","2","1.04","1","-1.63","3","2.74","3"
"25","Genesee ISD","25130","Atherton Community Schools","25","Genesee","LEA District","Elem thru High School","Suburb: Large","2019","8988183.76","9415154.44","1316691.45","0.00","852.94","412.37","332.20","1.99","2","-24.49","4","-4.75","4","6.83","2","43.66","3.00","14.65","3","14.08","3","0.95","4","-4.4","4","9.14","4"
"04","Alpena-Montmorency-Alcona ESD","60010","Atlanta Community Schools","60","Montmorency","LEA District","Elem thru High School","Rural: Remote","2019","2760761.78","2686892.94","244141.25","0.00","238.44","81.94","3.00","2.24","2","43.38","1","2.68","2","17.69","4","43.45","3.00","8.84","4","9.48","4","1.03","2","-0.18","2","4.21","4"
