ISD Code,ISD Name,District Code,District Name,County Code,County Name,Entity Type,School Level,Locale,Fiscal Year,Revenue,Expenditures,Fund Balance,Years in Deficit,Pupil FTE Count,Resident Pupils Leaving,Non-Resident Pupils Coming,Current Ratio,Current Ratio Quartile,Fund Balance Change,Fund Balance Change Quartile,Operating Margin,Operating Margin Quartile,Debt Service Coverage Ratio,Debt Service Coverage Ratio Quartile,Days Cash on Hand,Days Cash on Hand Quartile,Fund Balance as % of Revenue,Fund Balance as % of Revenue Quartile,Fund Balance as % of Expenditure,Fund Balance as % of Expenditure Quartile,Revenue/Expenditure Ratio,Revenue/Expenditure Ratio Quartile,Enrollment Trend,Enrollment Trend Quartile,Compensation Trend,Compensation Trend Quartile
"56","Midland County Educational Service Agency","56903","Academic and Career Education Academy","56","Midland","PSA District","High School","Rural: Fringe","2018","968177.00","947523.46","222879.01","0.00","108.99",,"105.98","5.15","1","10.21","2","2.13","2",,,"41.29","3.00","23.02","1","23.53","2","1.02","2","1.1","2",,
"82","Wayne RESA","82921","Academy for Business and Technology","82","Wayne","PSA District","Elem thru High School","Suburb: Large","2018","6054315.84","5978914.47","673256.26","0.00","590.01",,"591.00","1.91","3","12.61","2","1.25","3","0.2","1","14.12","4.00","11.12","3","11.51","3","1.01","2","-8.8","4",,
"50","Macomb ISD","50040","Anchor Bay School District","74","St. Clair","LEA District","Elem thru High School","Suburb: Large","2018","59584891.96","59358546.32","5576435.45","0.00","6004.63","575.20","483.94","1.68","3","4.23","3","0.39","3","20.54","4","25.39","4.00","9.36","3","9.61","3","1","3","0.1","2","5.35","4"
"81","Washtenaw ISD","81904","Ann Arbor Learning Community","81","Washtenaw","PSA District","Elem thru High School","Suburb: Large","2018","841055.86","1255681.01","61939.24","0.00","79.54",,"81.10","1.44","3","-87","4","-49.3","4",,,"12.31","4.00","7.36","4","4.94","4","0.67","4","-39.22","4",,
"81","Washtenaw ISD","81010","Ann Arbor Public Schools","81","Washtenaw","LEA District","Elem thru High School","City: Midsize","2018","254727273.56","256247773.87","18360249.64","0.00","17730.01","1607.77","1738.48","1.62","3","-7.65","4","-0.58","4","7.59","2","21.30","4.00","7.21","4","7.19","4","0.99","4","1.32","2","-4.11","1"
"13","Calhoun Intermediate School District","13901","Arbor Academy","13","Calhoun","PSA District","Elem_Middle School","City: Small","2018","1885451.40","1885451.52","0.00",,"211.28",,"212.00","1","4",,,"0.14","3",,,"8.25","4.00",,,,,"1","3","-7.19","4",,
"50","Macomb ISD","50050","Armada Area Schools","50","Macomb","LEA District","Elem thru High School","Rural: Distant","2018","17397250.56","16689150.70","1705731.37","0.00","1833.88","106.17","493.92","1.48","3","70.98","1","4.09","2","17.27","4","50.01","2.00","9.8","3","10.43","3","1.04","1","-1.61","3","2.31","3"
"50","Macomb ISD","50905","Arts Academy in the Woods","50","Macomb","PSA District","Middle_High School","Suburb: Large","2018","3255539.89","3230736.03","340887.70","0.00","338.91",,"340.57","1.56","3","7.85","3","7.43","1","5.39","1","38.84","3.00","10.47","3","11.47","3","1.01","2","-3.45","4","-2.26","2"
"63","Oakland Schools","63915","Arts and Technology Academy of Pontiac","63","Oakland","PSA District","Elem thru High School","City: Small","2018","7346216.00","7504616.00","829318.00","0.00","717.47",,"728.00","1.77","3","-16.04","4","10.28","1","13.27","3","26.29","3.00","11.29","3","13.15","3","0.98","4","-5.06","4","-2.1","2"
"31","Copper Country ISD","07010","Arvon Township School District","07","Baraga","LEA District","Elem_Middle School","Rural: Remote","2018","353308.00","383938.00","659908.00","0.00","13.00","17.00","7.00","37","1","-4.44","4","-6.16","4",,,"627.98","1.00","186.78","1","182.76","1","0.92","4","8.33","1","2.15","3"
