ISD Code,ISD Name,District Code,District Name,County Code,County Name,Entity Type,School Level,Locale,Fiscal Year,Revenue,Expenditures,Fund Balance,Years in Deficit,Pupil FTE Count,Resident Pupils Leaving,Non-Resident Pupils Coming,Current Ratio,Current Ratio Quartile,Fund Balance Change,Fund Balance Change Quartile,Operating Margin,Operating Margin Quartile,Debt Service Coverage Ratio,Debt Service Coverage Ratio Quartile,Days Cash on Hand,Days Cash on Hand Quartile,Fund Balance as % of Revenue,Fund Balance as % of Revenue Quartile,Fund Balance as % of Expenditure,Fund Balance as % of Expenditure Quartile,Revenue/Expenditure Ratio,Revenue/Expenditure Ratio Quartile,Enrollment Trend,Enrollment Trend Quartile,Compensation Trend,Compensation Trend Quartile
"56","Midland County Educational Service Agency","56903","Academic and Career Education Academy","56","Midland","PSA District","High School","Rural: Fringe","2016","1424060.98","1435187.23","141853.75","0.00","181.54",,"177.00","1.72","3","-7.27","4","-0.72","4",,,"19.59","4.00","9.96","3","9.9","3","0.99","4","24.39","1",,
"82","Wayne RESA","82921","Academy for Business and Technology","82","Wayne","PSA District","Elem thru High School","Suburb: Large","2016","6428490.52","6413450.41","590952.52","0.00","660.53",,"661.00","1.66","3","2.61","3","0.3","3",,,"7.08","4.00","9.19","3","9.67","3","1","3","-0.98","3",,
"50","Macomb ISD","50040","Anchor Bay School District","74","St. Clair","LEA District","Elem thru High School","Suburb: Large","2016","56406559.78","54478118.66","6148748.03","0.00","6140.10","543.86","349.88","1.82","2","45.69","1","3.42","2","60.36","4","27.77","3.00","10.9","3","11.46","3","1.04","1","-0.76","3","0.79","2"
"81","Washtenaw ISD","81904","Ann Arbor Learning Community","81","Washtenaw","PSA District","Elem thru High School","Suburb: Large","2016","1525476.71","1667803.54","502121.85","0.00","164.22",,"162.18","4.49","1","-22.09","4","-9.33","4",,,"76.45","2.00","32.92","1","30.36","1","0.91","4","-18.35","4",,
"81","Washtenaw ISD","81010","Ann Arbor Public Schools","81","Washtenaw","LEA District","Elem thru High School","City: Midsize","2016","216188008.70","211442948.64","21508020.93","0.00","17155.63","1606.19","1223.30","1.83","2","28.31","2","2.21","2","8.37","2","41.98","3.00","9.95","3","10.21","3","1.02","2","1.87","2","20.06","4"
"13","Calhoun Intermediate School District","13901","Arbor Academy","13","Calhoun","PSA District","Elem_Middle School","City: Small","2016","1714659.14","1714659.02","0.00",,"191.35",,"192.00","1","4",,,"0.27","3",,,"1.18","4.00",,,,,"1","3","-10.77","4",,
"09","Bay-Arenac ISD","06010","Arenac Eastern School District","06","Arenac","LEA District","Elem thru High School","Rural: Remote","2016","1868507.00","1929450.74","251046.64","0.00","156.10","113.12","18.00","1.4","3","-19.53","4","-3.26","4","10.33","2","79.11","1.00","13.44","2","13.05","3","0.97","4","-16.18","4","19.39","4"
"50","Macomb ISD","50050","Armada Area Schools","50","Macomb","LEA District","Elem thru High School","Rural: Distant","2016","16866722.64","16897384.20","368834.74","0.00","1900.56","106.22","526.23","1.09","4","-7.68","4","-0.14","4","18.57","4","36.47","3.00","2.19","4","2.23","4","1","3","-2.57","3","7.02","4"
"50","Macomb ISD","50905","Arts Academy in the Woods","50","Macomb","PSA District","Middle_High School","Suburb: Large","2016","3089737.16","3063394.32","344479.86","0.00","358.96",,"361.90","1.4","3","8.28","3","13.71","1","28.75","4","72.37","2.00","11.15","3","13.16","2","1.01","2","4.27","1","4.96","3"
"63","Oakland Schools","63915","Arts and Technology Academy of Pontiac","63","Oakland","PSA District","Elem thru High School","City: Small","2016","6665514.00","6449859.00","779077.00","0.00","675.69",,"686.00","1.82","2","38.28","1","10.54","1","31.48","4","25.01","3.00","11.69","3","14.09","2","1.03","2","14.01","1","-9.96","1"
