,districtcode,schoolyear,districtname,8th_math_percentmet,attendance,teacher_min_effective_percentage,Estimate Median household income in the past 12 months (in 2018 inflation-adjusted dollars),fundbalanceas%ofexpenditure,"Estimate Total Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months"
305,3080,2015-2016,Saugatuck Public Schools,60.6,94.75,0.0,82787,15.76,72
306,3080,2016-2017,Saugatuck Public Schools,62.9,94.83,0.0,82787,14.19,72
307,3080,2017-2018,Saugatuck Public Schools,62.7,94.02,1.59,82787,12.43,72
308,3080,2018-2019,Saugatuck Public Schools,57.9,93.97,0.0,82787,11.53,72
309,3080,2020-2021,Saugatuck Public Schools,50.0,92.87,1.27,82787,13.99,72
310,3100,2015-2016,Hamilton Community Schools,38.9,97.36,4.05,67826,18.5,226
311,3100,2016-2017,Hamilton Community Schools,46.9,96.84,1.15,67826,19.67,226
312,3100,2017-2018,Hamilton Community Schools,48.9,95.17,0.56,67826,20.61,226
313,3100,2018-2019,Hamilton Community Schools,52.4,94.57,0.53,67826,20.33,226
314,3100,2020-2021,Hamilton Community Schools,48.9,91.54,0.0,67826,21.48,226
315,31010,2015-2016,Hancock Public Schools,34.0,95.87,0.0,43872,4.52,368
316,31010,2016-2017,Hancock Public Schools,26.5,98.37,3.92,43872,4.39,368
317,31010,2017-2018,Hancock Public Schools,29.9,89.93,0.0,43872,6.08,368
318,31010,2018-2019,Hancock Public Schools,51.8,94.00,2.27,43872,7.99,368
319,31010,2020-2021,Hancock Public Schools,52.9,94.30,0.0,43872,12.06,368
320,32060,2015-2016,Harbor Beach Community Schools,50.0,96.67,0.0,44054,64.04,190
321,32060,2016-2017,Harbor Beach Community Schools,41.9,96.24,0.0,44054,67.84,190
322,32060,2017-2018,Harbor Beach Community Schools,48.6,95.46,0.0,44054,46.0,190
323,32060,2018-2019,Harbor Beach Community Schools,58.1,95.49,0.0,44054,35.85,190
324,32060,2020-2021,Harbor Beach Community Schools,48.5,91.12,2.44,44054,27.46,190
325,33010,2015-2016,East Lansing School District,57.1,96.53,1.83,40170,12.69,597
326,33010,2016-2017,East Lansing School District,41.9,95.82,1.38,40170,11.57,597
327,33010,2017-2018,East Lansing School District,48.7,94.93,2.26,40170,13.17,597
328,33010,2018-2019,East Lansing School District,55.7,94.51,1.74,40170,16.45,597
329,33010,2020-2021,East Lansing School District,50.0,95.75,0.0,40170,29.98,597
330,33040,2015-2016,Dansville Schools,41.8,97.15,0.0,64785,10.86,153
331,33040,2016-2017,Dansville Schools,40.7,96.79,0.0,64785,9.63,153
332,33040,2017-2018,Dansville Schools,50.0,95.08,0.0,64785,14.55,153
333,33040,2018-2019,Dansville Schools,57.9,95.91,0.0,64785,14.76,153
334,33040,2020-2021,Dansville Schools,25.0,95.64,0.0,64785,19.25,153
335,33060,2015-2016,Haslett Public Schools,50.5,96.07,0.0,66826,6.18,315
336,33060,2016-2017,Haslett Public Schools,58.3,95.67,0.0,66826,6.93,315
337,33060,2017-2018,Haslett Public Schools,55.8,95.26,0.0,66826,6.9,315
338,33060,2018-2019,Haslett Public Schools,66.7,94.95,0.0,66826,6.86,315
339,33060,2020-2021,Haslett Public Schools,74.2,98.59,0.0,66826,8.49,315
340,33100,2015-2016,Leslie Public Schools,30.9,95.61,1.15,63345,4.87,426
341,33100,2016-2017,Leslie Public Schools,27.9,95.11,1.09,63345,5.12,426
342,33100,2017-2018,Leslie Public Schools,26.1,94.89,0.83,63345,6.22,426
343,33100,2018-2019,Leslie Public Schools,32.7,94.76,0.0,63345,4.5,426
344,33100,2020-2021,Leslie Public Schools,31.7,96.30,0.0,63345,5.89,426
345,33170,2015-2016,Okemos Public Schools,68.0,95.60,1.43,82418,7.99,456
346,33170,2016-2017,Okemos Public Schools,65.2,95.13,0.34,82418,8.13,456
347,33170,2017-2018,Okemos Public Schools,64.0,95.32,0.35,82418,10.01,456
348,33170,2018-2019,Okemos Public Schools,71.1,95.04,0.0,82418,11.28,456
349,33170,2020-2021,Okemos Public Schools,69.2,99.44,0.0,82418,15.63,456
350,33215,2015-2016,Waverly Community Schools,22.7,95.60,0.0,58846,12.5,887
351,33215,2016-2017,Waverly Community Schools,27.9,95.27,4.57,58846,14.22,887
352,33215,2017-2018,Waverly Community Schools,18.8,93.13,2.73,58846,12.19,887
353,33215,2018-2019,Waverly Community Schools,26.6,92.57,2.11,58846,11.97,887
354,33215,2020-2021,Waverly Community Schools,33.3,92.06,0.0,58846,22.1,887
355,33220,2015-2016,Webberville Community Schools,20.4,97.13,0.0,71146,9.09,47
356,33220,2016-2017,Webberville Community Schools,10.6,96.13,0.0,71146,7.18,47
357,33220,2017-2018,Webberville Community Schools,16.2,95.35,3.57,71146,10.71,47
358,33220,2018-2019,Webberville Community Schools,40.0,93.71,0.0,71146,14.91,47
359,33220,2020-2021,Webberville Community Schools,10.0,94.93,0.94,71146,23.42,47
360,33230,2015-2016,Williamston Community Schools,55.2,97.40,0.0,96692,1.86,71
361,33230,2016-2017,Williamston Community Schools,57.4,96.62,0.0,96692,1.88,71
362,33230,2017-2018,Williamston Community Schools,59.3,95.77,0.0,96692,3.95,71
363,33230,2018-2019,Williamston Community Schools,73.9,95.69,0.48,96692,7.23,71
364,33230,2020-2021,Williamston Community Schools,58.3,98.21,0.0,96692,12.55,71
370,34080,2015-2016,Belding Area School District,15.4,95.17,0.95,50362,13.17,730
371,34080,2016-2017,Belding Area School District,9.3,94.74,2.63,50362,10.36,730
372,34080,2017-2018,Belding Area School District,24.3,94.68,0.0,50362,12.14,730
373,34080,2018-2019,Belding Area School District,25.3,94.93,1.59,50362,16.82,730
374,34080,2020-2021,Belding Area School District,25.3,94.96,0.0,50362,19.79,730
375,34090,2015-2016,Lakewood Public Schools,39.5,94.63,1.94,58205,10.83,860
376,34090,2016-2017,Lakewood Public Schools,51.5,94.50,0.0,58205,15.56,860
377,34090,2017-2018,Lakewood Public Schools,44.9,93.65,0.0,58205,17.23,860
378,34090,2018-2019,Lakewood Public Schools,52.8,92.57,0.76,58205,16.88,860
379,34090,2020-2021,Lakewood Public Schools,43.1,90.36,0.0,58205,17.44,860
380,36025,2015-2016,West Iron County Public Schools,8.3,93.33,0.0,38378,25.61,303
381,36025,2016-2017,West Iron County Public Schools,20.8,93.65,0.0,38378,29.16,303
382,36025,2017-2018,West Iron County Public Schools,11.1,93.18,1.03,38378,29.44,303
383,36025,2018-2019,West Iron County Public Schools,26.7,93.21,0.88,38378,32.55,303
384,36025,2020-2021,West Iron County Public Schools,28.6,93.08,0.0,38378,33.34,303
385,38010,2015-2016,Western School District,47.1,96.22,0.0,61306,12.19,622
386,38010,2016-2017,Western School District,44.5,97.11,0.61,61306,12.15,622
387,38010,2017-2018,Western School District,39.5,94.79,0.0,61306,13.99,622
388,38010,2018-2019,Western School District,47.8,94.74,0.0,61306,14.79,622
389,38010,2020-2021,Western School District,27.5,98.15,0.0,61306,23.11,622
390,38050,2015-2016,Grass Lake Community Schools,24.2,95.70,0.0,77633,20.67,108
391,38050,2016-2017,Grass Lake Community Schools,33.0,95.38,1.28,77633,12.88,108
392,38050,2017-2018,Grass Lake Community Schools,35.5,95.18,1.33,77633,11.62,108
393,38050,2018-2019,Grass Lake Community Schools,51.1,95.05,0.0,77633,11.98,108
394,38050,2020-2021,Grass Lake Community Schools,46.3,92.62,0.0,77633,21.85,108
395,38080,2015-2016,Concord Community Schools,10.0,94.64,0.0,60604,21.78,157
396,38080,2016-2017,Concord Community Schools,13.8,95.18,2.17,60604,18.0,157
397,38080,2017-2018,Concord Community Schools,19.1,94.72,0.0,60604,14.82,157
398,38080,2018-2019,Concord Community Schools,17.3,94.62,0.0,60604,17.22,157
399,38080,2020-2021,Concord Community Schools,20.0,99.60,0.0,60604,18.13,157
400,38130,2015-2016,Napoleon Community Schools,41.0,96.12,1.3,54559,9.81,226
401,38130,2016-2017,Napoleon Community Schools,32.7,95.42,0.0,54559,6.72,226
402,38130,2017-2018,Napoleon Community Schools,39.8,95.31,0.0,54559,5.31,226
403,38130,2018-2019,Napoleon Community Schools,41.9,95.56,0.0,54559,4.32,226
404,38130,2020-2021,Napoleon Community Schools,22.6,99.47,0.0,54559,12.31,226
405,38150,2015-2016,Springport Public Schools,21.8,95.25,0.0,62422,15.23,249
406,38150,2016-2017,Springport Public Schools,18.1,94.32,0.0,62422,16.67,249
407,38150,2017-2018,Springport Public Schools,24.7,93.47,4.69,62422,17.39,249
408,38150,2018-2019,Springport Public Schools,28.0,93.58,4.48,62422,16.37,249
409,38150,2020-2021,Springport Public Schools,32.3,97.91,0.0,62422,20.98,249
410,38170,2015-2016,Jackson Public Schools,12.5,92.73,0.75,41122,5.58,5562
411,38170,2016-2017,Jackson Public Schools,16.9,92.43,1.3,41122,3.44,5562
412,38170,2017-2018,Jackson Public Schools,11.0,91.14,0.86,41122,5.37,5562
413,38170,2018-2019,Jackson Public Schools,23.4,90.94,1.69,41122,6.43,5562
414,38170,2020-2021,Jackson Public Schools,15.9,86.18,1.28,41122,17.99,5562
415,39030,2015-2016,Comstock Public Schools,16.7,91.86,5.22,42622,18.03,1738
416,39030,2016-2017,Comstock Public Schools,6.9,92.22,3.01,42622,21.51,1738
417,39030,2017-2018,Comstock Public Schools,5.4,89.67,4.26,42622,14.79,1738
418,39030,2018-2019,Comstock Public Schools,16.5,91.30,5.07,42622,4.03,1738
419,39030,2020-2021,Comstock Public Schools,5.0,94.16,0.0,42622,6.87,1738
420,39065,2015-2016,Gull Lake Community Schools,49.3,96.35,1.38,72691,11.35,602
421,39065,2016-2017,Gull Lake Community Schools,36.6,95.96,0.0,72691,12.85,602
422,39065,2017-2018,Gull Lake Community Schools,38.4,95.05,0.43,72691,13.24,602
423,39065,2018-2019,Gull Lake Community Schools,58.3,95.94,1.05,72691,13.21,602
424,39065,2020-2021,Gull Lake Community Schools,42.3,95.20,0.34,72691,11.45,602
425,39130,2015-2016,Parchment School District,48.8,94.56,0.0,57704,8.1,704
426,39130,2016-2017,Parchment School District,45.8,94.18,0.0,57704,5.86,704
427,39130,2017-2018,Parchment School District,37.7,92.86,0.0,57704,7.71,704
428,39130,2018-2019,Parchment School District,41.8,93.12,0.0,57704,9.41,704
429,39130,2020-2021,Parchment School District,22.8,90.34,0.0,57704,18.65,704
430,39140,2015-2016,Portage Public Schools,56.43333333333334,95.86,1.11,69380,12.57,2215
431,39140,2016-2017,Portage Public Schools,49.699999999999996,95.92,0.37,69380,11.52,2215
432,39140,2017-2018,Portage Public Schools,49.76666666666667,95.23,0.0,69380,10.17,2215
433,39140,2018-2019,Portage Public Schools,61.96666666666666,95.37,0.53,69380,10.13,2215
434,39140,2020-2021,Portage Public Schools,54.96666666666667,96.14,0.0,69380,14.63,2215
435,39160,2015-2016,Schoolcraft Community Schools,36.0,96.12,7.46,78571,17.75,168
436,39160,2016-2017,Schoolcraft Community Schools,44.6,95.12,1.64,78571,17.31,168
437,39160,2017-2018,Schoolcraft Community Schools,54.7,94.80,0.0,78571,18.25,168
438,39160,2018-2019,Schoolcraft Community Schools,63.9,95.65,0.0,78571,18.45,168
439,39160,2020-2021,Schoolcraft Community Schools,63.9,84.59,0.0,78571,19.96,168
440,39170,2015-2016,Vicksburg Community Schools,29.5,96.40,0.0,72384,10.44,525
441,39170,2016-2017,Vicksburg Community Schools,39.9,96.22,0.0,72384,10.2,525
442,39170,2017-2018,Vicksburg Community Schools,35.8,94.64,0.0,72384,9.87,525
443,39170,2018-2019,Vicksburg Community Schools,48.6,95.43,0.0,72384,11.27,525
444,39170,2020-2021,Vicksburg Community Schools,45.7,96.30,0.0,72384,17.68,525
445,40020,2015-2016,Forest Area Community Schools,12.8,94.51,2.08,48795,20.99,245
446,40020,2016-2017,Forest Area Community Schools,18.6,93.04,8.33,48795,28.71,245
447,40020,2017-2018,Forest Area Community Schools,34.9,93.35,10.64,48795,31.56,245
448,40020,2018-2019,Forest Area Community Schools,38.7,93.14,2.44,48795,33.12,245
449,40020,2020-2021,Forest Area Community Schools,33.3,90.22,0.0,48795,31.26,245
450,40040,2015-2016,Kalkaska Public Schools,16.5,95.07,4.35,45561,19.4,784
451,40040,2016-2017,Kalkaska Public Schools,10.3,95.64,0.94,45561,28.77,784
452,40040,2017-2018,Kalkaska Public Schools,16.4,88.81,2.94,45561,31.17,784
453,40040,2018-2019,Kalkaska Public Schools,41.3,94.59,3.08,45561,30.19,784
454,40040,2020-2021,Kalkaska Public Schools,23.6,93.14,0.56,45561,18.67,784
455,41010,2015-2016,Grand Rapids Public Schools,13.883333333333333,87.68,5.99,47139,7.9,17744
456,41010,2016-2017,Grand Rapids Public Schools,15.25,93.54,3.5,47139,8.11,17744
457,41010,2017-2018,Grand Rapids Public Schools,15.950000000000001,92.39,4.71,47139,7.24,17744
458,41010,2018-2019,Grand Rapids Public Schools,23.142857142857142,91.87,2.79,47139,5.88,17744
459,41010,2020-2021,Grand Rapids Public Schools,16.9875,86.44,0.79,47139,9.17,17744
460,41020,2015-2016,Godwin Heights Public Schools,7.7,93.77,3.39,43575,9.92,1231
461,41020,2016-2017,Godwin Heights Public Schools,10.3,93.66,3.73,43575,6.82,1231
462,41020,2017-2018,Godwin Heights Public Schools,6.2,92.98,0.0,43575,9.29,1231
463,41020,2018-2019,Godwin Heights Public Schools,11.7,93.75,1.64,43575,10.6,1231
464,41020,2020-2021,Godwin Heights Public Schools,11.2,98.81,0.81,43575,10.2,1231
465,41040,2015-2016,Byron Center Public Schools,67.4,96.70,1.47,70404,15.79,560
466,41040,2016-2017,Byron Center Public Schools,64.7,96.36,1.95,70404,14.86,560
467,41040,2017-2018,Byron Center Public Schools,64.2,93.44,0.5,70404,15.36,560
468,41040,2018-2019,Byron Center Public Schools,66.5,94.79,0.0,70404,18.37,560
469,41040,2020-2021,Byron Center Public Schools,64.0,94.67,0.65,70404,22.96,560
470,41050,2015-2016,Caledonia Community Schools,67.7,96.58,0.0,83388,19.31,411
471,41050,2016-2017,Caledonia Community Schools,68.9,96.51,0.0,83388,19.48,411
472,41050,2017-2018,Caledonia Community Schools,67.1,95.56,0.0,83388,16.49,411
473,41050,2018-2019,Caledonia Community Schools,61.5,95.86,0.0,83388,17.28,411
474,41050,2020-2021,Caledonia Community Schools,58.7,94.80,0.0,83388,18.42,411
475,41070,2015-2016,Cedar Springs Public Schools,43.5,96.11,0.52,64613,12.3,760
476,41070,2016-2017,Cedar Springs Public Schools,35.7,95.76,0.0,64613,14.09,760
477,41070,2017-2018,Cedar Springs Public Schools,37.5,94.73,0.95,64613,16.72,760
478,41070,2018-2019,Cedar Springs Public Schools,41.8,95.19,0.93,64613,20.34,760
479,41070,2020-2021,Cedar Springs Public Schools,31.4,92.15,0.39,64613,27.46,760
480,41080,2015-2016,Comstock Park Public Schools,26.1,95.41,0.76,53519,7.53,749
481,41080,2016-2017,Comstock Park Public Schools,29.3,95.36,0.83,53519,6.73,749
482,41080,2017-2018,Comstock Park Public Schools,29.5,95.12,1.71,53519,11.32,749
483,41080,2018-2019,Comstock Park Public Schools,43.1,95.49,0.0,53519,16.29,749
484,41080,2020-2021,Comstock Park Public Schools,40.0,95.73,2.4,53519,28.42,749
485,41110,2015-2016,Forest Hills Public Schools,66.36666666666666,96.46,1.22,104785,12.29,398
486,41110,2016-2017,Forest Hills Public Schools,65.5,96.09,0.16,104785,12.01,398
487,41110,2017-2018,Forest Hills Public Schools,64.06666666666666,95.82,0.56,104785,15.45,398
488,41110,2018-2019,Forest Hills Public Schools,71.8,95.91,0.5,104785,17.23,398
489,41110,2020-2021,Forest Hills Public Schools,70.66666666666667,98.29,0.0,104785,19.17,398
490,41120,2015-2016,Godfrey-Lee Public Schools,10.9,93.83,0.0,47120,13.3,1103
491,41120,2016-2017,Godfrey-Lee Public Schools,18.2,93.37,0.7,47120,11.92,1103
492,41120,2017-2018,Godfrey-Lee Public Schools,22.4,93.46,0.0,47120,11.62,1103
493,41120,2018-2019,Godfrey-Lee Public Schools,7.6,93.67,0.75,47120,15.75,1103
494,41120,2020-2021,Godfrey-Lee Public Schools,7.7,96.81,0.0,47120,36.11,1103
495,41130,2015-2016,Grandville Public Schools,38.4,96.53,0.0,64847,6.51,1732
496,41130,2016-2017,Grandville Public Schools,40.3,96.08,0.0,64847,6.98,1732
497,41130,2017-2018,Grandville Public Schools,42.1,95.30,0.0,64847,8.74,1732
498,41130,2018-2019,Grandville Public Schools,54.9,95.42,1.03,64847,10.94,1732
499,41130,2020-2021,Grandville Public Schools,50.5,91.92,0.4,64847,11.14,1732
500,41140,2015-2016,Kelloggsville Public Schools,15.5,93.75,2.22,43877,13.08,1261
501,41140,2016-2017,Kelloggsville Public Schools,14.9,93.37,0.7,43877,17.26,1261
502,41140,2017-2018,Kelloggsville Public Schools,11.7,91.82,1.99,43877,22.63,1261
503,41140,2018-2019,Kelloggsville Public Schools,17.9,92.79,3.13,43877,22.3,1261
504,41140,2020-2021,Kelloggsville Public Schools,6.3,91.07,0.71,43877,25.18,1261
505,41145,2015-2016,Kenowa Hills Public Schools,26.2,95.83,0.55,64170,13.45,881
506,41145,2016-2017,Kenowa Hills Public Schools,19.4,95.58,1.11,64170,9.67,881
507,41145,2017-2018,Kenowa Hills Public Schools,22.2,94.85,0.0,64170,10.4,881
508,41145,2018-2019,Kenowa Hills Public Schools,30.0,95.14,1.5,64170,10.66,881
509,41145,2020-2021,Kenowa Hills Public Schools,23.7,96.56,0.0,64170,11.4,881
510,41150,2015-2016,Kent City Community Schools,24.1,95.59,0.0,68870,3.13,661
511,41150,2016-2017,Kent City Community Schools,23.2,95.04,0.0,68870,3.43,661
512,41150,2017-2018,Kent City Community Schools,36.1,94.55,0.94,68870,3.19,661
513,41150,2018-2019,Kent City Community Schools,45.7,93.96,0.0,68870,3.07,661
514,41150,2020-2021,Kent City Community Schools,24.7,97.91,0.0,68870,15.52,661
515,41160,2015-2016,Kentwood Public Schools,28.266666666666666,95.04,1.44,54842,7.48,4382
516,41160,2016-2017,Kentwood Public Schools,27.133333333333336,94.80,0.0,54842,9.6,4382
517,41160,2017-2018,Kentwood Public Schools,22.8,93.96,1.29,54842,10.91,4382
518,41160,2018-2019,Kentwood Public Schools,28.0,94.06,1.24,54842,12.27,4382
519,41160,2020-2021,Kentwood Public Schools,25.266666666666666,95.45,0.17,54842,14.53,4382
520,41170,2015-2016,Lowell Area Schools,52.1,96.08,0.92,79358,11.49,359
521,41170,2016-2017,Lowell Area Schools,57.0,95.80,0.9,79358,13.9,359
522,41170,2017-2018,Lowell Area Schools,53.7,95.10,0.0,79358,15.63,359
523,41170,2018-2019,Lowell Area Schools,61.0,95.29,0.0,79358,15.88,359
524,41170,2020-2021,Lowell Area Schools,50.0,99.08,0.0,79358,16.89,359
525,41210,2015-2016,Rockford Public Schools,60.8,96.25,0.42,90339,3.59,841
526,41210,2016-2017,Rockford Public Schools,62.75,96.10,0.21,90339,4.21,841
527,41210,2017-2018,Rockford Public Schools,49.45,95.64,0.41,90339,5.8,841
528,41210,2018-2019,Rockford Public Schools,66.5,95.59,0.21,90339,7.63,841
529,41210,2020-2021,Rockford Public Schools,59.400000000000006,93.09,0.0,90339,10.43,841
530,41240,2015-2016,Sparta Area Schools,39.4,93.06,3.47,62308,11.22,533
531,41240,2016-2017,Sparta Area Schools,38.3,93.07,0.72,62308,10.27,533
532,41240,2017-2018,Sparta Area Schools,35.4,95.82,1.48,62308,13.75,533
533,41240,2018-2019,Sparta Area Schools,46.1,96.05,2.9,62308,15.25,533
534,41240,2020-2021,Sparta Area Schools,29.0,96.73,0.0,62308,23.48,533
535,44020,2015-2016,Almont Community Schools,55.0,95.88,1.28,68462,7.16,240
536,44020,2016-2017,Almont Community Schools,54.5,95.94,0.0,68462,6.25,240
537,44020,2017-2018,Almont Community Schools,53.0,94.64,0.0,68462,6.67,240
538,44020,2018-2019,Almont Community Schools,63.4,94.67,0.83,68462,10.59,240
539,44020,2020-2021,Almont Community Schools,56.6,89.84,0.0,68462,14.62,240
540,44060,2015-2016,Imlay City Community Schools,24.3,95.07,0.0,54502,14.4,876
541,44060,2016-2017,Imlay City Community Schools,22.9,96.02,0.0,54502,20.13,876
542,44060,2017-2018,Imlay City Community Schools,28.1,93.26,0.0,54502,19.07,876
543,44060,2018-2019,Imlay City Community Schools,40.3,93.50,0.0,54502,17.75,876
544,44060,2020-2021,Imlay City Community Schools,41.3,91.41,0.0,54502,29.49,876
545,44090,2015-2016,North Branch Area Schools,36.2,94.65,0.0,59913,9.09,578
546,44090,2016-2017,North Branch Area Schools,43.7,94.16,0.0,59913,11.94,578
547,44090,2017-2018,North Branch Area Schools,45.9,94.16,1.39,59913,13.49,578
548,44090,2018-2019,North Branch Area Schools,51.5,93.81,0.0,59913,15.2,578
549,44090,2020-2021,North Branch Area Schools,43.3,93.24,0.0,59913,25.15,578
550,46020,2015-2016,Addison Community Schools,31.4,96.55,0.0,57719,7.44,199
551,46020,2016-2017,Addison Community Schools,18.9,95.54,0.0,57719,9.72,199
552,46020,2017-2018,Addison Community Schools,34.4,95.01,0.0,57719,9.34,199
553,46020,2018-2019,Addison Community Schools,40.0,95.38,0.0,57719,8.75,199
554,46020,2020-2021,Addison Community Schools,24.5,97.49,0.0,57719,12.73,199
555,46040,2015-2016,Blissfield Community Schools,59.6,96.39,0.0,54087,34.62,302
556,46040,2016-2017,Blissfield Community Schools,47.2,95.85,0.0,54087,35.43,302
557,46040,2017-2018,Blissfield Community Schools,56.0,94.82,0.0,54087,38.32,302
558,46040,2018-2019,Blissfield Community Schools,37.1,94.58,0.0,54087,38.73,302
559,46040,2020-2021,Blissfield Community Schools,34.1,98.80,0.0,54087,36.85,302
560,46060,2015-2016,Clinton Community Schools,38.4,96.29,0.0,66159,20.35,249
561,46060,2016-2017,Clinton Community Schools,28.6,95.53,7.46,66159,21.88,249
562,46060,2017-2018,Clinton Community Schools,23.9,95.16,0.0,66159,28.77,249
563,46060,2018-2019,Clinton Community Schools,38.7,95.46,4.44,66159,34.56,249
564,46060,2020-2021,Clinton Community Schools,40.3,94.65,0.0,66159,41.65,249
565,46100,2015-2016,Morenci Area Schools,46.3,96.48,2.38,43387,8.11,278
566,46100,2016-2017,Morenci Area Schools,20.5,95.51,11.63,43387,11.49,278
567,46100,2017-2018,Morenci Area Schools,38.2,94.96,8.89,43387,11.45,278
568,46100,2018-2019,Morenci Area Schools,40.8,94.00,4.55,43387,14.81,278
569,46100,2020-2021,Morenci Area Schools,34.2,97.90,4.76,43387,20.33,278
570,46110,2015-2016,Onsted Community Schools,27.8,96.97,3.66,66667,15.16,319
571,46110,2016-2017,Onsted Community Schools,28.6,96.34,7.41,66667,15.38,319
572,46110,2017-2018,Onsted Community Schools,18.5,96.58,1.3,66667,13.63,319
573,46110,2018-2019,Onsted Community Schools,31.4,98.70,1.27,66667,16.28,319
574,46110,2020-2021,Onsted Community Schools,21.6,91.22,0.0,66667,20.37,319
575,47010,2015-2016,Brighton Area Schools,48.6,96.15,0.0,90992,3.8,703
576,47010,2016-2017,Brighton Area Schools,55.0,95.76,0.0,90992,5.29,703
577,47010,2017-2018,Brighton Area Schools,52.1,95.51,0.13,90992,7.04,703
578,47010,2018-2019,Brighton Area Schools,62.8,95.44,0.12,90992,10.96,703
579,47010,2020-2021,Brighton Area Schools,59.3,99.47,0.0,90992,11.13,703
580,47070,2015-2016,Howell Public Schools,38.65,95.63,0.0,73190,14.35,1654
581,47070,2016-2017,Howell Public Schools,32.95,95.42,3.72,73190,15.27,1654
582,47070,2017-2018,Howell Public Schools,27.85,95.37,3.81,73190,17.4,1654
583,47070,2018-2019,Howell Public Schools,48.15,94.19,2.3,73190,18.78,1654
584,47070,2020-2021,Howell Public Schools,38.3,91.68,0.21,73190,20.71,1654
585,49010,2015-2016,St. Ignace Area Schools,54.2,94.61,0.0,43320,17.13,281
586,49010,2016-2017,St. Ignace Area Schools,58.5,95.35,5.41,43320,16.13,281
587,49010,2017-2018,St. Ignace Area Schools,37.8,90.82,0.0,43320,16.56,281
588,49010,2018-2019,St. Ignace Area Schools,43.2,94.87,0.0,43320,17.07,281
589,49010,2020-2021,St. Ignace Area Schools,53.3,93.74,0.0,43320,28.45,281
590,50010,2015-2016,Center Line Public Schools,15.7,94.04,2.44,46003,4.83,1736
591,50010,2016-2017,Center Line Public Schools,8.3,93.59,0.0,46003,6.32,1736
592,50010,2017-2018,Center Line Public Schools,19.5,92.45,0.0,46003,7.02,1736
593,50010,2018-2019,Center Line Public Schools,18.6,91.52,1.21,46003,6.66,1736
594,50010,2020-2021,Center Line Public Schools,12.9,96.00,0.0,46003,16.1,1736
595,50030,2015-2016,Roseville Community Schools,17.65,92.73,4.11,44156,9.67,3686
596,50030,2016-2017,Roseville Community Schools,15.5,92.71,2.98,44156,10.09,3686
597,50030,2017-2018,Roseville Community Schools,15.1,90.01,0.64,44156,7.1,3686
598,50030,2018-2019,Roseville Community Schools,17.05,89.88,2.57,44156,7.5,3686
599,50030,2020-2021,Roseville Community Schools,11.7,89.73,0.36,44156,19.32,3686
600,50040,2015-2016,Anchor Bay School District,46.65,95.40,2.83,76075,11.46,977
601,50040,2016-2017,Anchor Bay School District,36.65,95.07,0.32,76075,9.63,977
602,50040,2017-2018,Anchor Bay School District,34.4,95.02,0.3,76075,9.61,977
603,50040,2018-2019,Anchor Bay School District,53.05,94.74,0.0,76075,8.05,977
604,50040,2020-2021,Anchor Bay School District,40.45,99.42,0.0,76075,4.67,977
605,50050,2015-2016,Armada Area Schools,45.1,96.39,0.85,71433,2.23,144
606,50050,2016-2017,Armada Area Schools,47.1,96.55,3.88,71433,6.2,144
607,50050,2017-2018,Armada Area Schools,37.8,95.06,1.79,71433,10.43,144
608,50050,2018-2019,Armada Area Schools,39.1,94.50,0.95,71433,9.3,144
609,50050,2020-2021,Armada Area Schools,53.7,93.75,0.0,71433,10.42,144
610,50070,2015-2016,Clintondale Community Schools,19.6,88.82,0.73,47165,5.43,1572
611,50070,2016-2017,Clintondale Community Schools,25.0,85.99,0.0,47165,6.85,1572
612,50070,2017-2018,Clintondale Community Schools,25.8,71.99,0.0,47165,6.37,1572
613,50070,2018-2019,Clintondale Community Schools,12.9,84.89,0.0,47165,3.42,1572
614,50070,2020-2021,Clintondale Community Schools,14.6,79.17,0.63,47165,12.74,1572
615,50080,2015-2016,Chippewa Valley Schools,41.349999999999994,95.54,0.0,73345,17.65,2649
616,50080,2016-2017,Chippewa Valley Schools,42.375,95.21,0.0,73345,17.85,2649
617,50080,2017-2018,Chippewa Valley Schools,42.625,94.85,0.0,73345,18.59,2649
618,50080,2018-2019,Chippewa Valley Schools,49.075,94.80,0.12,73345,18.93,2649
619,50080,2020-2021,Chippewa Valley Schools,36.875,99.46,0.0,73345,19.23,2649
620,50090,2015-2016,Fitzgerald Public Schools,14.2,93.48,1.36,38050,4.15,2368
621,50090,2016-2017,Fitzgerald Public Schools,13.2,92.72,1.24,38050,4.25,2368
622,50090,2017-2018,Fitzgerald Public Schools,11.5,90.83,0.52,38050,1.69,2368
623,50090,2018-2019,Fitzgerald Public Schools,20.0,90.90,0.0,38050,4.89,2368
624,50090,2020-2021,Fitzgerald Public Schools,11.4,98.57,0.4,38050,11.23,2368
625,50100,2015-2016,Fraser Public Schools,27.3,96.27,0.94,54001,12.11,956
626,50100,2016-2017,Fraser Public Schools,25.8,94.63,0.92,54001,13.99,956
627,50100,2017-2018,Fraser Public Schools,30.5,94.00,0.93,54001,13.27,956
628,50100,2018-2019,Fraser Public Schools,43.8,93.65,2.24,54001,11.99,956
629,50100,2020-2021,Fraser Public Schools,28.3,90.92,0.0,54001,10.97,956
630,50140,2015-2016,L'Anse Creuse Public Schools,32.375,94.50,0.0,65563,5.88,3320
