,districtcode,schoolyear,districtname,8th_math_percentmet,english_language_learners_enrollment,attendance,english_language_learners_enrollment,admin_min_effective_percentage,teacher_min_effective_percentage,Estimate Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Estimate Total Bachelor's degree,Estimate Total Master's degree,fundbalanceas%ofexpenditure,"Estimate Total Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months"
230,25200,2015-2016,Lake Fenton Community Schools,35.6,23,95.96,23,14.29,0.0,74630,1967,693,17.57,196
231,25200,2016-2017,Lake Fenton Community Schools,31.7,27,95.74,27,0.0,0.94,74630,1967,693,19.32,196
232,25200,2017-2018,Lake Fenton Community Schools,33.5,24,95.26,24,0.0,0.0,74630,1967,693,20.27,196
233,25200,2018-2019,Lake Fenton Community Schools,49.7,22,95.03,22,0.0,0.0,74630,1967,693,22.37,196
234,25200,2020-2021,Lake Fenton Community Schools,47.9,15,95.61,15,0.0,0.0,74630,1967,693,26.66,196
235,25250,2015-2016,Linden Community Schools,23.8,13,95.28,13,0.0,0.0,78627,2238,1025,9.11,687
236,25250,2016-2017,Linden Community Schools,30.2,17,94.94,17,0.0,0.0,78627,2238,1025,9.36,687
237,25250,2017-2018,Linden Community Schools,40.8,18,95.05,18,0.0,0.0,78627,2238,1025,7.26,687
238,25250,2018-2019,Linden Community Schools,63.1,18,95.13,18,0.0,0.0,78627,2238,1025,7.72,687
239,25250,2020-2021,Linden Community Schools,40.0,12,96.62,12,0.0,0.0,78627,2238,1025,19.63,687
240,28010,2015-2016,Traverse City Area Public Schools,37.0,258,95.74,258,0.0,1.0,61731,14351,6181,6.67,3547
241,28010,2016-2017,Traverse City Area Public Schools,39.15,277,95.34,277,0.0,1.22,61731,14351,6181,5.52,3547
242,28010,2017-2018,Traverse City Area Public Schools,44.95,260,93.46,260,2.86,0.17,61731,14351,6181,8.48,3547
243,28010,2018-2019,Traverse City Area Public Schools,52.55,256,94.10,256,0.0,0.0,61731,14351,6181,9.05,3547
244,28010,2020-2021,Traverse City Area Public Schools,48.65,221,92.85,221,0.0,0.14,61731,14351,6181,10.56,3547
245,28090,2015-2016,Kingsley Area Schools,45.7,5,96.20,5,0.0,0.0,54688,607,228,33.66,602
246,28090,2016-2017,Kingsley Area Schools,39.4,5,95.60,5,0.0,0.0,54688,607,228,31.76,602
247,28090,2017-2018,Kingsley Area Schools,33.6,5,86.25,5,0.0,0.0,54688,607,228,31.33,602
248,28090,2018-2019,Kingsley Area Schools,42.6,5,94.75,5,0.0,0.0,54688,607,228,34.71,602
249,28090,2020-2021,Kingsley Area Schools,41.9,5,92.72,5,0.0,0.0,54688,607,228,35.39,602
250,29010,2015-2016,Alma Public Schools,23.8,16,95.54,16,0.0,0.0,37706,961,635,10.32,859
251,29010,2016-2017,Alma Public Schools,37.2,5,94.84,5,0.0,0.0,37706,961,635,13.63,859
252,29010,2017-2018,Alma Public Schools,44.4,18,93.70,18,0.0,0.61,37706,961,635,15.19,859
253,29010,2018-2019,Alma Public Schools,58.4,12,93.94,12,0.0,0.0,37706,961,635,17.15,859
254,29010,2020-2021,Alma Public Schools,36.8,16,92.90,16,0.0,0.0,37706,961,635,20.08,859
255,29050,2015-2016,Fulton Schools,26.5,11,97.04,11,0.0,8.93,52415,349,102,18.4,202
256,29050,2016-2017,Fulton Schools,33.3,5,99.28,5,0.0,0.0,52415,349,102,16.59,202
257,29050,2017-2018,Fulton Schools,16.2,19,90.83,19,0.0,0.0,52415,349,102,16.01,202
258,29050,2018-2019,Fulton Schools,41.2,16,92.48,16,0.0,2.82,52415,349,102,7.65,202
259,29050,2020-2021,Fulton Schools,23.1,18,98.83,18,0.0,2.13,52415,349,102,9.21,202
260,29100,2015-2016,St. Louis Public Schools,35.1,32,97.27,32,0.0,0.0,44958,508,198,13.61,384
261,29100,2016-2017,St. Louis Public Schools,17.3,20,96.82,20,0.0,0.0,44958,508,198,15.1,384
262,29100,2017-2018,St. Louis Public Schools,13.2,19,94.77,19,0.0,0.0,44958,508,198,12.68,384
263,29100,2018-2019,St. Louis Public Schools,28.6,27,94.86,27,0.0,1.54,44958,508,198,12.93,384
264,29100,2020-2021,St. Louis Public Schools,23.0,22,96.73,22,0.0,0.0,44958,508,198,20.21,384
265,30020,2015-2016,Hillsdale Community Schools,27.6,12,96.31,12,0.0,1.19,44124,1193,500,7.6,627
266,30020,2016-2017,Hillsdale Community Schools,20.8,5,96.17,5,0.0,3.37,44124,1193,500,11.08,627
267,30020,2017-2018,Hillsdale Community Schools,20.2,5,93.96,5,0.0,1.08,44124,1193,500,18.09,627
268,30020,2018-2019,Hillsdale Community Schools,29.5,5,94.31,5,0.0,3.45,44124,1193,500,19.75,627
269,30020,2020-2021,Hillsdale Community Schools,14.9,5,91.99,5,0.0,2.47,44124,1193,500,29.93,627
270,30030,2015-2016,Jonesville Community Schools,19.2,5,94.24,5,0.0,0.0,51929,443,180,19.85,313
271,30030,2016-2017,Jonesville Community Schools,15.3,5,94.20,5,0.0,1.08,51929,443,180,16.46,313
272,30030,2017-2018,Jonesville Community Schools,21.2,5,94.19,5,0.0,1.08,51929,443,180,14.0,313
273,30030,2018-2019,Jonesville Community Schools,32.7,5,92.67,5,0.0,1.08,51929,443,180,15.79,313
274,30030,2020-2021,Jonesville Community Schools,30.9,5,88.89,5,0.0,0.0,51929,443,180,24.69,313
275,3010,2015-2016,Plainwell Community Schools,48.5,5,93.08,5,0.0,1.32,63275,2025,899,18.75,942
276,3010,2016-2017,Plainwell Community Schools,38.8,24,94.96,24,0.0,0.0,63275,2025,899,18.62,942
277,3010,2017-2018,Plainwell Community Schools,37.2,44,94.46,44,0.0,1.81,63275,2025,899,18.33,942
278,3010,2018-2019,Plainwell Community Schools,54.0,47,95.64,47,0.0,0.0,63275,2025,899,17.86,942
279,3010,2020-2021,Plainwell Community Schools,31.2,35,93.44,35,0.0,0.0,63275,2025,899,21.82,942
280,3020,2015-2016,Otsego Public Schools,44.6,5,95.72,5,0.0,0.0,57440,1306,792,13.44,451
281,3020,2016-2017,Otsego Public Schools,48.8,5,95.33,5,0.0,0.0,57440,1306,792,20.23,451
282,3020,2017-2018,Otsego Public Schools,47.1,33,94.06,33,0.0,0.0,57440,1306,792,18.54,451
283,3020,2018-2019,Otsego Public Schools,44.1,24,94.59,24,0.0,0.0,57440,1306,792,18.24,451
284,3020,2020-2021,Otsego Public Schools,32.7,15,99.07,15,0.0,0.47,57440,1306,792,17.49,451
285,3030,2015-2016,Allegan Public Schools,20.1,13,96.93,13,0.0,0.0,54756,1341,548,10.05,753
286,3030,2016-2017,Allegan Public Schools,38.4,11,96.13,11,0.0,0.0,54756,1341,548,11.47,753
287,3030,2017-2018,Allegan Public Schools,23.0,36,65.48,36,0.0,1.97,54756,1341,548,10.92,753
288,3030,2018-2019,Allegan Public Schools,38.2,20,92.70,20,0.0,0.65,54756,1341,548,9.81,753
289,3030,2020-2021,Allegan Public Schools,29.0,24,92.25,24,0.0,0.0,54756,1341,548,14.18,753
290,3040,2015-2016,Wayland Union Schools,33.5,18,95.58,18,0.0,0.0,65408,1772,469,10.6,494
291,3040,2016-2017,Wayland Union Schools,42.7,10,95.09,10,0.0,0.56,65408,1772,469,12.05,494
292,3040,2017-2018,Wayland Union Schools,51.6,21,93.83,21,0.0,0.0,65408,1772,469,14.96,494
293,3040,2018-2019,Wayland Union Schools,54.1,52,94.10,52,0.0,0.0,65408,1772,469,16.26,494
294,3040,2020-2021,Wayland Union Schools,40.2,34,97.45,34,0.0,0.55,65408,1772,469,20.24,494
295,3050,2015-2016,Fennville Public Schools,14.6,288,95.50,288,0.0,3.57,58518,1066,331,21.69,287
296,3050,2016-2017,Fennville Public Schools,23.1,273,88.50,273,0.0,0.0,58518,1066,331,19.99,287
297,3050,2017-2018,Fennville Public Schools,17.0,286,51.60,286,0.0,0.0,58518,1066,331,18.93,287
298,3050,2018-2019,Fennville Public Schools,30.3,296,93.52,296,0.0,1.19,58518,1066,331,17.85,287
299,3050,2020-2021,Fennville Public Schools,20.4,304,89.80,304,0.0,0.96,58518,1066,331,21.42,287
305,3080,2015-2016,Saugatuck Public Schools,60.6,5,94.75,5,0.0,0.0,82787,1014,604,15.76,72
306,3080,2016-2017,Saugatuck Public Schools,62.9,5,94.83,5,0.0,0.0,82787,1014,604,14.19,72
307,3080,2017-2018,Saugatuck Public Schools,62.7,5,94.02,5,0.0,1.59,82787,1014,604,12.43,72
308,3080,2018-2019,Saugatuck Public Schools,57.9,5,93.97,5,0.0,0.0,82787,1014,604,11.53,72
309,3080,2020-2021,Saugatuck Public Schools,50.0,5,92.87,5,0.0,1.27,82787,1014,604,13.99,72
310,3100,2015-2016,Hamilton Community Schools,38.9,54,97.36,54,0.0,4.05,67826,1560,594,18.5,226
311,3100,2016-2017,Hamilton Community Schools,46.9,56,96.84,56,0.0,1.15,67826,1560,594,19.67,226
312,3100,2017-2018,Hamilton Community Schools,48.9,65,95.17,65,0.0,0.56,67826,1560,594,20.61,226
313,3100,2018-2019,Hamilton Community Schools,52.4,72,94.57,72,0.0,0.53,67826,1560,594,20.33,226
314,3100,2020-2021,Hamilton Community Schools,48.9,66,91.54,66,0.0,0.0,67826,1560,594,21.48,226
315,31010,2015-2016,Hancock Public Schools,34.0,5,95.87,5,0.0,0.0,43872,850,419,4.52,368
316,31010,2016-2017,Hancock Public Schools,26.5,5,98.37,5,0.0,3.92,43872,850,419,4.39,368
317,31010,2017-2018,Hancock Public Schools,29.9,5,89.93,5,0.0,0.0,43872,850,419,6.08,368
318,31010,2018-2019,Hancock Public Schools,51.8,5,94.00,5,0.0,2.27,43872,850,419,7.99,368
319,31010,2020-2021,Hancock Public Schools,52.9,5,94.30,5,0.0,0.0,43872,850,419,12.06,368
320,32060,2015-2016,Harbor Beach Community Schools,50.0,5,96.67,5,0.0,0.0,44054,321,143,64.04,190
321,32060,2016-2017,Harbor Beach Community Schools,41.9,5,96.24,5,0.0,0.0,44054,321,143,67.84,190
322,32060,2017-2018,Harbor Beach Community Schools,48.6,5,95.46,5,0.0,0.0,44054,321,143,46.0,190
323,32060,2018-2019,Harbor Beach Community Schools,58.1,5,95.49,5,0.0,0.0,44054,321,143,35.85,190
324,32060,2020-2021,Harbor Beach Community Schools,48.5,5,91.12,5,0.0,2.44,44054,321,143,27.46,190
325,33010,2015-2016,East Lansing School District,57.1,345,96.53,345,0.0,1.83,40170,5362,4024,12.69,597
326,33010,2016-2017,East Lansing School District,41.9,328,95.82,328,0.0,1.38,40170,5362,4024,11.57,597
327,33010,2017-2018,East Lansing School District,48.7,361,94.93,361,0.0,2.26,40170,5362,4024,13.17,597
328,33010,2018-2019,East Lansing School District,55.7,341,94.51,341,0.0,1.74,40170,5362,4024,16.45,597
329,33010,2020-2021,East Lansing School District,50.0,277,95.75,277,0.0,0.0,40170,5362,4024,29.98,597
330,33040,2015-2016,Dansville Schools,41.8,5,97.15,5,0.0,0.0,64785,478,214,10.86,153
331,33040,2016-2017,Dansville Schools,40.7,5,96.79,5,0.0,0.0,64785,478,214,9.63,153
332,33040,2017-2018,Dansville Schools,50.0,5,95.08,5,0.0,0.0,64785,478,214,14.55,153
333,33040,2018-2019,Dansville Schools,57.9,5,95.91,5,0.0,0.0,64785,478,214,14.76,153
334,33040,2020-2021,Dansville Schools,25.0,5,95.64,5,0.0,0.0,64785,478,214,19.25,153
335,33060,2015-2016,Haslett Public Schools,50.5,57,96.07,57,0.0,0.0,66826,2892,1881,6.18,315
336,33060,2016-2017,Haslett Public Schools,58.3,80,95.67,80,0.0,0.0,66826,2892,1881,6.93,315
337,33060,2017-2018,Haslett Public Schools,55.8,81,95.26,81,0.0,0.0,66826,2892,1881,6.9,315
338,33060,2018-2019,Haslett Public Schools,66.7,106,94.95,106,0.0,0.0,66826,2892,1881,6.86,315
339,33060,2020-2021,Haslett Public Schools,74.2,83,98.59,83,0.0,0.0,66826,2892,1881,8.49,315
340,33100,2015-2016,Leslie Public Schools,30.9,5,95.61,5,0.0,1.15,63345,565,217,4.87,426
341,33100,2016-2017,Leslie Public Schools,27.9,5,95.11,5,0.0,1.09,63345,565,217,5.12,426
342,33100,2017-2018,Leslie Public Schools,26.1,5,94.89,5,0.0,0.83,63345,565,217,6.22,426
343,33100,2018-2019,Leslie Public Schools,32.7,5,94.76,5,0.0,0.0,63345,565,217,4.5,426
344,33100,2020-2021,Leslie Public Schools,31.7,5,96.30,5,0.0,0.0,63345,565,217,5.89,426
345,33170,2015-2016,Okemos Public Schools,68.0,188,95.60,188,0.0,1.43,82418,5051,3772,7.99,456
346,33170,2016-2017,Okemos Public Schools,65.2,162,95.13,162,0.0,0.34,82418,5051,3772,8.13,456
347,33170,2017-2018,Okemos Public Schools,64.0,240,95.32,240,0.0,0.35,82418,5051,3772,10.01,456
348,33170,2018-2019,Okemos Public Schools,71.1,273,95.04,273,0.0,0.0,82418,5051,3772,11.28,456
349,33170,2020-2021,Okemos Public Schools,69.2,311,99.44,311,0.0,0.0,82418,5051,3772,15.63,456
350,33215,2015-2016,Waverly Community Schools,22.7,53,95.60,53,0.0,0.0,58846,3351,1158,12.5,887
351,33215,2016-2017,Waverly Community Schools,27.9,83,95.27,83,0.0,4.57,58846,3351,1158,14.22,887
352,33215,2017-2018,Waverly Community Schools,18.8,121,93.13,121,0.0,2.73,58846,3351,1158,12.19,887
353,33215,2018-2019,Waverly Community Schools,26.6,109,92.57,109,0.0,2.11,58846,3351,1158,11.97,887
354,33215,2020-2021,Waverly Community Schools,33.3,119,92.06,119,0.0,0.0,58846,3351,1158,22.1,887
355,33220,2015-2016,Webberville Community Schools,20.4,5,97.13,5,0.0,0.0,71146,349,130,9.09,47
356,33220,2016-2017,Webberville Community Schools,10.6,5,96.13,5,0.0,0.0,71146,349,130,7.18,47
357,33220,2017-2018,Webberville Community Schools,16.2,5,95.35,5,0.0,3.57,71146,349,130,10.71,47
358,33220,2018-2019,Webberville Community Schools,40.0,5,93.71,5,0.0,0.0,71146,349,130,14.91,47
359,33220,2020-2021,Webberville Community Schools,10.0,5,94.93,5,0.0,0.94,71146,349,130,23.42,47
360,33230,2015-2016,Williamston Community Schools,55.2,5,97.40,5,0.0,0.0,96692,2030,1069,1.86,71
361,33230,2016-2017,Williamston Community Schools,57.4,5,96.62,5,0.0,0.0,96692,2030,1069,1.88,71
362,33230,2017-2018,Williamston Community Schools,59.3,11,95.77,11,0.0,0.0,96692,2030,1069,3.95,71
363,33230,2018-2019,Williamston Community Schools,73.9,16,95.69,16,0.0,0.48,96692,2030,1069,7.23,71
364,33230,2020-2021,Williamston Community Schools,58.3,11,98.21,11,0.0,0.0,96692,2030,1069,12.55,71
370,34080,2015-2016,Belding Area School District,15.4,109,95.17,109,0.0,0.95,50362,794,309,13.17,730
371,34080,2016-2017,Belding Area School District,9.3,113,94.74,113,0.0,2.63,50362,794,309,10.36,730
372,34080,2017-2018,Belding Area School District,24.3,126,94.68,126,0.0,0.0,50362,794,309,12.14,730
373,34080,2018-2019,Belding Area School District,25.3,110,94.93,110,0.0,1.59,50362,794,309,16.82,730
374,34080,2020-2021,Belding Area School District,25.3,88,94.96,88,0.0,0.0,50362,794,309,19.79,730
375,34090,2015-2016,Lakewood Public Schools,39.5,18,94.63,18,0.0,1.94,58205,960,382,10.83,860
376,34090,2016-2017,Lakewood Public Schools,51.5,17,94.50,17,0.0,0.0,58205,960,382,15.56,860
377,34090,2017-2018,Lakewood Public Schools,44.9,25,93.65,25,0.0,0.0,58205,960,382,17.23,860
378,34090,2018-2019,Lakewood Public Schools,52.8,27,92.57,27,0.0,0.76,58205,960,382,16.88,860
379,34090,2020-2021,Lakewood Public Schools,43.1,21,90.36,21,0.0,0.0,58205,960,382,17.44,860
380,36025,2015-2016,West Iron County Public Schools,8.3,5,93.33,5,0.0,0.0,38378,625,286,25.61,303
381,36025,2016-2017,West Iron County Public Schools,20.8,5,93.65,5,0.0,0.0,38378,625,286,29.16,303
382,36025,2017-2018,West Iron County Public Schools,11.1,5,93.18,5,0.0,1.03,38378,625,286,29.44,303
383,36025,2018-2019,West Iron County Public Schools,26.7,5,93.21,5,0.0,0.88,38378,625,286,32.55,303
384,36025,2020-2021,West Iron County Public Schools,28.6,5,93.08,5,0.0,0.0,38378,625,286,33.34,303
385,38010,2015-2016,Western School District,47.1,15,96.22,15,0.0,0.0,61306,1560,487,12.19,622
386,38010,2016-2017,Western School District,44.5,14,97.11,14,0.0,0.61,61306,1560,487,12.15,622
387,38010,2017-2018,Western School District,39.5,22,94.79,22,0.0,0.0,61306,1560,487,13.99,622
388,38010,2018-2019,Western School District,47.8,21,94.74,21,0.0,0.0,61306,1560,487,14.79,622
389,38010,2020-2021,Western School District,27.5,14,98.15,14,0.0,0.0,61306,1560,487,23.11,622
390,38050,2015-2016,Grass Lake Community Schools,24.2,5,95.70,5,0.0,0.0,77633,1096,414,20.67,108
391,38050,2016-2017,Grass Lake Community Schools,33.0,5,95.38,5,0.0,1.28,77633,1096,414,12.88,108
392,38050,2017-2018,Grass Lake Community Schools,35.5,5,95.18,5,0.0,1.33,77633,1096,414,11.62,108
393,38050,2018-2019,Grass Lake Community Schools,51.1,5,95.05,5,0.0,0.0,77633,1096,414,11.98,108
394,38050,2020-2021,Grass Lake Community Schools,46.3,5,92.62,5,0.0,0.0,77633,1096,414,21.85,108
395,38080,2015-2016,Concord Community Schools,10.0,5,94.64,5,0.0,0.0,60604,458,218,21.78,157
396,38080,2016-2017,Concord Community Schools,13.8,5,95.18,5,0.0,2.17,60604,458,218,18.0,157
397,38080,2017-2018,Concord Community Schools,19.1,5,94.72,5,0.0,0.0,60604,458,218,14.82,157
398,38080,2018-2019,Concord Community Schools,17.3,5,94.62,5,0.0,0.0,60604,458,218,17.22,157
399,38080,2020-2021,Concord Community Schools,20.0,5,99.60,5,0.0,0.0,60604,458,218,18.13,157
400,38130,2015-2016,Napoleon Community Schools,41.0,5,96.12,5,0.0,1.3,54559,1153,183,9.81,226
401,38130,2016-2017,Napoleon Community Schools,32.7,5,95.42,5,0.0,0.0,54559,1153,183,6.72,226
402,38130,2017-2018,Napoleon Community Schools,39.8,5,95.31,5,0.0,0.0,54559,1153,183,5.31,226
403,38130,2018-2019,Napoleon Community Schools,41.9,5,95.56,5,0.0,0.0,54559,1153,183,4.32,226
404,38130,2020-2021,Napoleon Community Schools,22.6,5,99.47,5,0.0,0.0,54559,1153,183,12.31,226
405,38150,2015-2016,Springport Public Schools,21.8,5,95.25,5,0.0,0.0,62422,350,169,15.23,249
406,38150,2016-2017,Springport Public Schools,18.1,5,94.32,5,0.0,0.0,62422,350,169,16.67,249
407,38150,2017-2018,Springport Public Schools,24.7,5,93.47,5,0.0,4.69,62422,350,169,17.39,249
408,38150,2018-2019,Springport Public Schools,28.0,5,93.58,5,0.0,4.48,62422,350,169,16.37,249
409,38150,2020-2021,Springport Public Schools,32.3,5,97.91,5,20.0,0.0,62422,350,169,20.98,249
410,38170,2015-2016,Jackson Public Schools,12.5,120,92.73,120,6.9,0.75,41122,5390,1937,5.58,5562
411,38170,2016-2017,Jackson Public Schools,16.9,110,92.43,110,3.57,1.3,41122,5390,1937,3.44,5562
412,38170,2017-2018,Jackson Public Schools,11.0,114,91.14,114,11.54,0.86,41122,5390,1937,5.37,5562
413,38170,2018-2019,Jackson Public Schools,23.4,93,90.94,93,0.0,1.69,41122,5390,1937,6.43,5562
414,38170,2020-2021,Jackson Public Schools,15.9,116,86.18,116,0.0,1.28,41122,5390,1937,17.99,5562
415,39030,2015-2016,Comstock Public Schools,16.7,45,91.86,45,0.0,5.22,42622,1497,769,18.03,1738
416,39030,2016-2017,Comstock Public Schools,6.9,44,92.22,44,0.0,3.01,42622,1497,769,21.51,1738
417,39030,2017-2018,Comstock Public Schools,5.4,29,89.67,29,28.57,4.26,42622,1497,769,14.79,1738
418,39030,2018-2019,Comstock Public Schools,16.5,49,91.30,49,0.0,5.07,42622,1497,769,4.03,1738
419,39030,2020-2021,Comstock Public Schools,5.0,58,94.16,58,0.0,0.0,42622,1497,769,6.87,1738
420,39065,2015-2016,Gull Lake Community Schools,49.3,25,96.35,25,0.0,1.38,72691,3819,1685,11.35,602
421,39065,2016-2017,Gull Lake Community Schools,36.6,29,95.96,29,0.0,0.0,72691,3819,1685,12.85,602
422,39065,2017-2018,Gull Lake Community Schools,38.4,30,95.05,30,0.0,0.43,72691,3819,1685,13.24,602
423,39065,2018-2019,Gull Lake Community Schools,58.3,44,95.94,44,0.0,1.05,72691,3819,1685,13.21,602
424,39065,2020-2021,Gull Lake Community Schools,42.3,61,95.20,61,0.0,0.34,72691,3819,1685,11.45,602
425,39130,2015-2016,Parchment School District,48.8,11,94.56,11,0.0,0.0,57704,1333,570,8.1,704
426,39130,2016-2017,Parchment School District,45.8,16,94.18,16,0.0,0.0,57704,1333,570,5.86,704
427,39130,2017-2018,Parchment School District,37.7,27,92.86,27,0.0,0.0,57704,1333,570,7.71,704
428,39130,2018-2019,Parchment School District,41.8,16,93.12,16,0.0,0.0,57704,1333,570,9.41,704
429,39130,2020-2021,Parchment School District,22.8,10,90.34,10,0.0,0.0,57704,1333,570,18.65,704
430,39140,2015-2016,Portage Public Schools,56.43333333333334,311,95.86,311,0.0,1.11,69380,10240,5142,12.57,2215
431,39140,2016-2017,Portage Public Schools,49.699999999999996,307,95.92,307,0.0,0.37,69380,10240,5142,11.52,2215
432,39140,2017-2018,Portage Public Schools,49.76666666666667,309,95.23,309,0.0,0.0,69380,10240,5142,10.17,2215
433,39140,2018-2019,Portage Public Schools,61.96666666666666,294,95.37,294,0.0,0.53,69380,10240,5142,10.13,2215
434,39140,2020-2021,Portage Public Schools,54.96666666666667,273,96.14,273,0.0,0.0,69380,10240,5142,14.63,2215
435,39160,2015-2016,Schoolcraft Community Schools,36.0,5,96.12,5,0.0,7.46,78571,896,302,17.75,168
436,39160,2016-2017,Schoolcraft Community Schools,44.6,5,95.12,5,0.0,1.64,78571,896,302,17.31,168
437,39160,2017-2018,Schoolcraft Community Schools,54.7,5,94.80,5,0.0,0.0,78571,896,302,18.25,168
438,39160,2018-2019,Schoolcraft Community Schools,63.9,5,95.65,5,0.0,0.0,78571,896,302,18.45,168
439,39160,2020-2021,Schoolcraft Community Schools,63.9,5,84.59,5,0.0,0.0,78571,896,302,19.96,168
440,39170,2015-2016,Vicksburg Community Schools,29.5,5,96.40,5,0.0,0.0,72384,2084,837,10.44,525
441,39170,2016-2017,Vicksburg Community Schools,39.9,24,96.22,24,0.0,0.0,72384,2084,837,10.2,525
442,39170,2017-2018,Vicksburg Community Schools,35.8,26,94.64,26,0.0,0.0,72384,2084,837,9.87,525
443,39170,2018-2019,Vicksburg Community Schools,48.6,29,95.43,29,0.0,0.0,72384,2084,837,11.27,525
444,39170,2020-2021,Vicksburg Community Schools,45.7,27,96.30,27,0.0,0.0,72384,2084,837,17.68,525
445,40020,2015-2016,Forest Area Community Schools,12.8,5,94.51,5,0.0,2.08,48795,267,155,20.99,245
446,40020,2016-2017,Forest Area Community Schools,18.6,5,93.04,5,0.0,8.33,48795,267,155,28.71,245
447,40020,2017-2018,Forest Area Community Schools,34.9,5,93.35,5,0.0,10.64,48795,267,155,31.56,245
448,40020,2018-2019,Forest Area Community Schools,38.7,5,93.14,5,0.0,2.44,48795,267,155,33.12,245
449,40020,2020-2021,Forest Area Community Schools,33.3,5,90.22,5,0.0,0.0,48795,267,155,31.26,245
450,40040,2015-2016,Kalkaska Public Schools,16.5,5,95.07,5,0.0,4.35,45561,680,288,19.4,784
451,40040,2016-2017,Kalkaska Public Schools,10.3,5,95.64,5,0.0,0.94,45561,680,288,28.77,784
452,40040,2017-2018,Kalkaska Public Schools,16.4,5,88.81,5,0.0,2.94,45561,680,288,31.17,784
453,40040,2018-2019,Kalkaska Public Schools,41.3,5,94.59,5,0.0,3.08,45561,680,288,30.19,784
454,40040,2020-2021,Kalkaska Public Schools,23.6,5,93.14,5,0.0,0.56,45561,680,288,18.67,784
455,41010,2015-2016,Grand Rapids Public Schools,13.883333333333333,4140,87.68,4140,0.0,5.99,47139,28372,10827,7.9,17744
456,41010,2016-2017,Grand Rapids Public Schools,15.25,4377,93.54,4377,0.0,3.5,47139,28372,10827,8.11,17744
457,41010,2017-2018,Grand Rapids Public Schools,15.950000000000001,4357,92.39,4357,0.0,4.71,47139,28372,10827,7.24,17744
458,41010,2018-2019,Grand Rapids Public Schools,23.142857142857142,4079,91.87,4079,1.83,2.79,47139,28372,10827,5.88,17744
459,41010,2020-2021,Grand Rapids Public Schools,16.9875,3567,86.44,3567,2.44,0.79,47139,28372,10827,9.17,17744
460,41020,2015-2016,Godwin Heights Public Schools,7.7,657,93.77,657,0.0,3.39,43575,857,113,9.92,1231
461,41020,2016-2017,Godwin Heights Public Schools,10.3,680,93.66,680,0.0,3.73,43575,857,113,6.82,1231
462,41020,2017-2018,Godwin Heights Public Schools,6.2,684,92.98,684,0.0,0.0,43575,857,113,9.29,1231
463,41020,2018-2019,Godwin Heights Public Schools,11.7,674,93.75,674,0.0,1.64,43575,857,113,10.6,1231
464,41020,2020-2021,Godwin Heights Public Schools,11.2,629,98.81,629,0.0,0.81,43575,857,113,10.2,1231
465,41040,2015-2016,Byron Center Public Schools,67.4,55,96.70,55,0.0,1.47,70404,3715,1447,15.79,560
466,41040,2016-2017,Byron Center Public Schools,64.7,78,96.36,78,0.0,1.95,70404,3715,1447,14.86,560
467,41040,2017-2018,Byron Center Public Schools,64.2,67,93.44,67,0.0,0.5,70404,3715,1447,15.36,560
468,41040,2018-2019,Byron Center Public Schools,66.5,74,94.79,74,0.0,0.0,70404,3715,1447,18.37,560
469,41040,2020-2021,Byron Center Public Schools,64.0,86,94.67,86,0.0,0.65,70404,3715,1447,22.96,560
470,41050,2015-2016,Caledonia Community Schools,67.7,59,96.58,59,0.0,0.0,83388,4361,1509,19.31,411
471,41050,2016-2017,Caledonia Community Schools,68.9,77,96.51,77,0.0,0.0,83388,4361,1509,19.48,411
472,41050,2017-2018,Caledonia Community Schools,67.1,89,95.56,89,0.0,0.0,83388,4361,1509,16.49,411
473,41050,2018-2019,Caledonia Community Schools,61.5,85,95.86,85,0.0,0.0,83388,4361,1509,17.28,411
474,41050,2020-2021,Caledonia Community Schools,58.7,86,94.80,86,0.0,0.0,83388,4361,1509,18.42,411
475,41070,2015-2016,Cedar Springs Public Schools,43.5,21,96.11,21,0.0,0.52,64613,2073,612,12.3,760
476,41070,2016-2017,Cedar Springs Public Schools,35.7,24,95.76,24,0.0,0.0,64613,2073,612,14.09,760
477,41070,2017-2018,Cedar Springs Public Schools,37.5,36,94.73,36,0.0,0.95,64613,2073,612,16.72,760
478,41070,2018-2019,Cedar Springs Public Schools,41.8,43,95.19,43,0.0,0.93,64613,2073,612,20.34,760
479,41070,2020-2021,Cedar Springs Public Schools,31.4,29,92.15,29,0.0,0.39,64613,2073,612,27.46,760
480,41080,2015-2016,Comstock Park Public Schools,26.1,204,95.41,204,0.0,0.76,53519,1988,660,7.53,749
481,41080,2016-2017,Comstock Park Public Schools,29.3,206,95.36,206,0.0,0.83,53519,1988,660,6.73,749
482,41080,2017-2018,Comstock Park Public Schools,29.5,202,95.12,202,0.0,1.71,53519,1988,660,11.32,749
483,41080,2018-2019,Comstock Park Public Schools,43.1,206,95.49,206,0.0,0.0,53519,1988,660,16.29,749
484,41080,2020-2021,Comstock Park Public Schools,40.0,165,95.73,165,0.0,2.4,53519,1988,660,28.42,749
485,41110,2015-2016,Forest Hills Public Schools,66.36666666666666,381,96.46,381,0.0,1.22,104785,12545,6055,12.29,398
486,41110,2016-2017,Forest Hills Public Schools,65.5,433,96.09,433,0.0,0.16,104785,12545,6055,12.01,398
