,districtcode,schoolyear,districtname,8th_math_percentmet,english_language_learners_enrollment,attendance,english_language_learners_enrollment,admin_min_effective_percentage,teacher_min_effective_percentage,Estimate Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Estimate Total Bachelor's degree,Estimate Total Master's degree,fundbalanceas%ofexpenditure,"Estimate Total Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months"
53,13070,2018-2019,Harper Creek Community Schools,33.6,48,95.15,48,0.0,0.0,61813,2078,723,10.53,388
54,13070,2020-2021,Harper Creek Community Schools,23.1,31,92.23,31,0.0,0.0,61813,2078,723,15.15,388
55,13110,2015-2016,Marshall Public Schools,38.5,5,95.13,5,0.0,1.84,47015,2598,1396,8.16,1673
56,13110,2016-2017,Marshall Public Schools,19.9,5,94.38,5,7.69,3.17,47015,2598,1396,12.31,1673
57,13110,2017-2018,Marshall Public Schools,33.3,5,94.17,5,0.0,1.69,47015,2598,1396,14.03,1673
58,13110,2018-2019,Marshall Public Schools,32.9,12,93.92,12,0.0,0.89,47015,2598,1396,14.7,1673
59,13110,2020-2021,Marshall Public Schools,28.8,15,83.55,15,0.0,1.19,47015,2598,1396,16.94,1673
60,13135,2015-2016,Union City Community Schools,33.3,5,94.84,5,0.0,1.56,49107,319,113,10.22,453
61,13135,2016-2017,Union City Community Schools,26.7,5,94.83,5,0.0,1.54,49107,319,113,8.65,453
62,13135,2017-2018,Union City Community Schools,31.6,5,94.28,5,0.0,0.0,49107,319,113,5.95,453
63,13135,2018-2019,Union City Community Schools,28.6,5,94.25,5,0.0,0.0,49107,319,113,9.23,453
64,13135,2020-2021,Union City Community Schools,49.4,5,96.24,5,0.0,2.74,49107,319,113,19.53,453
65,14030,2015-2016,Edwardsburg Public Schools,39.4,37,96.38,37,0.0,2.07,65362,1320,547,34.83,469
66,14030,2016-2017,Edwardsburg Public Schools,41.3,30,95.75,30,0.0,0.0,65362,1320,547,33.29,469
67,14030,2017-2018,Edwardsburg Public Schools,36.4,26,95.08,26,0.0,0.0,65362,1320,547,31.32,469
68,14030,2018-2019,Edwardsburg Public Schools,51.1,21,95.04,21,0.0,0.0,65362,1320,547,30.85,469
69,14030,2020-2021,Edwardsburg Public Schools,40.3,21,94.06,21,0.0,0.0,65362,1320,547,30.01,469
70,15020,2015-2016,Boyne City Public Schools,60.2,5,97.35,5,0.0,1.06,58847,1183,654,14.94,234
71,15020,2016-2017,Boyne City Public Schools,57.9,5,97.15,5,0.0,1.0,58847,1183,654,18.92,234
72,15020,2017-2018,Boyne City Public Schools,41.6,5,94.88,5,0.0,2.63,58847,1183,654,18.5,234
73,15020,2018-2019,Boyne City Public Schools,56.7,5,94.53,5,0.0,2.8,58847,1183,654,26.15,234
74,15020,2020-2021,Boyne City Public Schools,40.2,5,95.36,5,0.0,0.87,58847,1183,654,33.96,234
75,15050,2015-2016,Charlevoix Public Schools,43.9,5,97.49,5,0.0,0.0,49167,1321,562,15.54,259
76,15050,2016-2017,Charlevoix Public Schools,55.6,5,96.38,5,0.0,0.0,49167,1321,562,12.96,259
77,15050,2017-2018,Charlevoix Public Schools,50.0,5,94.32,5,0.0,0.0,49167,1321,562,11.41,259
78,15050,2018-2019,Charlevoix Public Schools,45.5,5,94.70,5,0.0,0.0,49167,1321,562,17.67,259
79,15050,2020-2021,Charlevoix Public Schools,52.0,5,95.28,5,0.0,0.0,49167,1321,562,53.1,259
80,15060,2015-2016,East Jordan Public Schools,28.2,5,99.00,5,16.67,4.17,50580,679,343,5.83,425
81,15060,2016-2017,East Jordan Public Schools,16.9,5,97.67,5,0.0,0.0,50580,679,343,7.22,425
82,15060,2017-2018,East Jordan Public Schools,23.9,5,96.26,5,0.0,0.0,50580,679,343,9.03,425
83,15060,2018-2019,East Jordan Public Schools,43.1,5,94.46,5,0.0,3.92,50580,679,343,12.23,425
84,15060,2020-2021,East Jordan Public Schools,45.1,5,94.29,5,0.0,0.0,50580,679,343,19.82,425
85,17010,2015-2016,Sault Ste. Marie Area Schools,25.9,5,94.93,5,0.0,0.65,42312,2489,660,11.51,1370
86,17010,2016-2017,Sault Ste. Marie Area Schools,28.7,5,94.41,5,33.33,10.0,42312,2489,660,14.17,1370
87,17010,2017-2018,Sault Ste. Marie Area Schools,34.6,5,92.72,5,0.0,1.87,42312,2489,660,17.97,1370
88,17010,2018-2019,Sault Ste. Marie Area Schools,43.2,5,93.05,5,0.0,0.87,42312,2489,660,21.21,1370
89,17010,2020-2021,Sault Ste. Marie Area Schools,44.4,5,91.20,5,0.0,0.0,42312,2489,660,27.94,1370
90,18010,2015-2016,Clare Public Schools,21.9,5,95.00,5,0.0,1.15,50750,719,434,11.99,296
91,18010,2016-2017,Clare Public Schools,37.6,5,94.39,5,37.5,2.2,50750,719,434,17.7,296
92,18010,2017-2018,Clare Public Schools,34.7,5,93.59,5,0.0,1.09,50750,719,434,22.03,296
93,18010,2018-2019,Clare Public Schools,45.6,5,95.02,5,11.11,4.08,50750,719,434,26.89,296
94,18010,2020-2021,Clare Public Schools,39.3,5,94.10,5,0.0,0.0,50750,719,434,33.8,296
95,18060,2015-2016,Harrison Community Schools,23.9,5,94.45,5,0.0,0.0,32328,503,259,13.27,1291
96,18060,2016-2017,Harrison Community Schools,20.0,5,94.36,5,0.0,2.53,32328,503,259,15.15,1291
97,18060,2017-2018,Harrison Community Schools,14.6,5,93.85,5,0.0,2.41,32328,503,259,16.9,1291
98,18060,2018-2019,Harrison Community Schools,19.8,5,92.87,5,0.0,1.18,32328,503,259,18.82,1291
99,18060,2020-2021,Harrison Community Schools,22.0,5,91.23,5,0.0,0.0,32328,503,259,26.13,1291
100,19010,2015-2016,DeWitt Public Schools,48.7,5,96.96,5,0.0,0.0,91932,2961,1197,9.44,176
101,19010,2016-2017,DeWitt Public Schools,47.6,26,96.20,26,0.0,0.0,91932,2961,1197,10.26,176
102,19010,2017-2018,DeWitt Public Schools,47.0,29,95.54,29,0.0,0.0,91932,2961,1197,11.18,176
103,19010,2018-2019,DeWitt Public Schools,59.4,36,95.31,36,0.0,0.0,91932,2961,1197,12.24,176
104,19010,2020-2021,DeWitt Public Schools,64.6,35,95.94,35,0.0,0.0,91932,2961,1197,15.67,176
105,19070,2015-2016,Fowler Public Schools,56.1,14,97.45,14,0.0,0.0,65156,245,88,12.05,83
106,19070,2016-2017,Fowler Public Schools,48.5,14,96.89,14,0.0,0.0,65156,245,88,14.37,83
107,19070,2017-2018,Fowler Public Schools,30.2,20,96.42,20,0.0,0.0,65156,245,88,15.56,83
108,19070,2018-2019,Fowler Public Schools,53.1,13,95.96,13,0.0,0.0,65156,245,88,16.24,83
