ISD Code,ISD Name,District Code,District Name,County Code,County Name,Entity Type,School Level,Locale,Fiscal Year,Revenue,Expenditures,Fund Balance,Years in Deficit,Pupil FTE Count,Resident Pupils Leaving,Non-Resident Pupils Coming,Current Ratio,Current Ratio Quartile,Fund Balance Change,Fund Balance Change Quartile,Operating Margin,Operating Margin Quartile,Debt Service Coverage Ratio,Debt Service Coverage Ratio Quartile,Days Cash on Hand,Days Cash on Hand Quartile,Fund Balance as % of Revenue,Fund Balance as % of Revenue Quartile,Fund Balance as % of Expenditure,Fund Balance as % of Expenditure Quartile,Revenue/Expenditure Ratio,Revenue/Expenditure Ratio Quartile,Enrollment Trend,Enrollment Trend Quartile,Compensation Trend,Compensation Trend Quartile
"83","Wexford-Missaukee ISD","83900","Highpoint Virtual Academy of Michigan","83","Wexford","PSA District","Elem thru High School","Rural: Remote","2020","8909669.39","8803522.57","340138.91","0.00","965.18",,"962.40","1.2","4","45.36","1","1.19","3",,,"18.87","4.00","3.82","4","3.88","4","1.01","3","17.57","1",,
"59","Montcalm Area ISD","59900","Success Virtual Learning Centers of Michigan","59","Montcalm","PSA District","High School","Rural: Remote","2020","13255371.34","13045911.79","342592.86","0.00","1521.46",,"1420.81","1.15","4","157.33","1","1.58","3",,,"9.73","4.00","2.58","4","2.63","4","1.02","2","19.22","1",,
"82","Wayne RESA","82762","Inkster Preparatory Academy","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","2020","1701427.66","1685219.75","38925.31","0.00","183.51",,"186.00","1.04","4","71.35","1","1.29","3",,,"169.64","1.00","2.29","4","2.32","4","1.01","3","3.7","1",,
"73","Saginaw ISD","73900","Saginaw Covenant Academy","73","Saginaw","PSA District","High School","City: Small","2020","971237.91","1056115.24","584812.92","0.00","99.40",,"102.00","69.6","1","-12.67","4","-8.74","4","10.3","2","150.73","1.00","60.21","1","65.23","1","0.92","4","0","2",,
"82","Wayne RESA","82763","Distinctive College Prep.","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","2020","5846708.24","5643749.90","205102.00","0.00","600.38",,"603.00","1.16","4","9460.71","1","3.8","2","1.73","1","24.06","4.00","3.51","4","3.71","4","1.04","1","31.12","1",,
"38","Jackson ISD","38904","Francis Street Primary School","38","Jackson","PSA District","Elementary","City: Small","2020","457437.39","522908.26","-20961.71","1.00","51.12",,"52.00","0.85","4","-147.1","4","-14.31","4","3.77","1","28.47","4.00","-4.58","4","-4.23","4","0.87","4","59.95","1",,
"19","Clinton County RESA","19900","Michigan International Prep School","19","Clinton","PSA District","Elem thru High School","Rural: Distant","2020","6095895.51","5111061.45","1936672.09","0.00","751.65",,"726.43","8.92","1","103.47","1","16.16","1",,,"61.50","2.00","31.77","1","41.01","1","1.19","1","63.49","1",,
"80","Van Buren ISD","80900","Michigan Online School","80","Van Buren","PSA District","Middle_High School","Rural: Distant","2020","4201097.14","4159687.96","562567.53","0.00","461.72",,"468.00","2.44","2","7.95","3","0.99","3",,,"28.50","4.00","13.39","3","13.65","3","1.01","3","11.9","1",,
"28","Northwest Education Services","28900","Old Mission Peninsula School","28","Grand Traverse","PSA District","Elem_Middle School","Rural: Distant","2020","1889581.00","1719480.00","202732.00","0.00","170.23",,"171.00","1.84","3","521.29","1","10.43","1",,,"20.15","4.00","10.73","3","13.27","3","1.1","1","26.93","1",,
"82","Wayne RESA","82765","Pembroke Academy","82","Wayne","PSA District","Elem_Middle School","City: Large","2020","4382976.00","4357394.00","36350.00","0.00","277.99",,"280.00","1.1","4","237.57","1","0.58","3",,,"3.00","4.00","0.83","4","0.83","4","1.01","3","15.57","1",,
"63","Oakland Schools","63939","Lighthouse Connections Academy","63","Oakland","PSA District","Elem thru High School","Suburb: Large","2020","5361398.33","4789894.10","594317.80","0.00","522.37",,"534.10","1.35","4","2505.09","1","10.66","1",,,"92.94","1.00","11.09","3","12.41","3","1.12","1","87.44","1",,
"25","Genesee ISD","25918","Flex High School of Michigan","25","Genesee","PSA District","High School","City: Small","2020","1385482.83","1385482.83","0.00",,"110.64",,"103.00","1","4",,,"0","4",,,"5.28","4.00",,,,,"1","3","155.05","1",,
"55","Menominee ISD","55900","Uplift Michigan Academy","55","Menominee","PSA District","Elem thru High School","Rural: Remote","2020","1973193.00","2082159.00","949559.00","0.00","160.63",,"152.00","4.27","1","-10.29","4","-5.52","4",,,"153.58","1.00","48.12","1","45.6","1","0.95","4","-1.96","3",,
"73","Saginaw ISD","73901","Saginaw STEM Academy of Excellence","73","Saginaw","PSA District","Elem_Middle School","City: Small","2020","1490370.23","1701496.82","-211126.33","1.00","157.17",,"167.00","0.68","4","-81202534.62","4","-13.31","4",,,"35.82","4.00","-14.17","4","-12.54","4","0.88","4","-9.03","4",,
"29","Gratiot-Isabella RESD","37900","Flextech High School Shepherd","37","Isabella","PSA District","Middle_High School","Rural: Distant","2020","681943.00","675129.00","14529.00","0.00","42.68",,"42.00","1.11","4","88.22","1","1.54","3",,,"4.67","4.00","2.13","4","2.16","4","1.01","3","24.94","1",,
"13","Calhoun Intermediate School District","13905","Lakeside Charter School - Albion","13","Calhoun","PSA District","Elem thru High School","Rural: Fringe","2020","1756516.31","1434098.08","322418.23","0.00","151.28",,"148.00","1.59","3","0","3","18.36","1",,,"74.37","2.00","18.36","2","23.09","2","1.22","1","0","2","0","2"
"25","Genesee ISD","25919","Flint Cultural Center Academy","25","Genesee","PSA District","Elem_Middle School","City: Small","2020","4103805.25","3139382.62","964422.63","0.00","372.81",,"374.00","4.07","1","0","3","24.83","1",,,"71.65","2.00","23.5","2","31.26","1","1.31","1","0","2","0","2"
"82","Wayne RESA","82766","Westfield Charter Academy","82","Wayne","PSA District","Elem thru High School","Suburb: Large","2020","8534245.00","8506815.00","27430.00","0.00","813.78",,"827.40","1.02","4","0","3","0.32","3",,,"1.16","4.00","0.32","4","0.32","4","1","3","0","2","0","2"
"82","Wayne RESA","82767","Ivywood Classical Academy","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","2020","1495633.43","1491065.65","4567.78","0.00","131.04",,"130.50","1.01","4","0","3","0.31","3",,,"37.72","3.00","0.31","4","0.34","4","1","3","0","2","0","2"
