,districtcode,schoolyear,districtname,8th_math_percentmet,attendance,american_indian_enrollment,asian_enrollment,english_language_learners_enrollment,early_middle_college_enrollment,admin_ineffective_percentage,admin_min_effective_percentage,teacher_min_effective_percentage,fundbalanceas%ofexpenditure,Estimate Total,Estimate Total White alone,Estimate Total Black or African American alone,Estimate Total American Indian and Alaska Native alone,Estimate Total Asian alone,Estimate Total Native Hawaiian and Other Pacific Islander alone,Estimate Total Some other race alone,Estimate Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Estimate Total Enrolled in school Enrolled in grade 1 to grade 4,Estimate Total Enrolled in school Enrolled in grade 5 to grade 8,Estimate Total Enrolled in school Enrolled in grade 9 to grade 12,Estimate Total Regular high school diploma,Estimate Total Bachelor's degree,Estimate Total Master's degree,Estimate Median age -- Total,Estimate Median age -- Male,Estimate Median age -- Female,"Estimate Total Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months",Estimate Total Family households
10,11033,2015-2016,River Valley School District,16.3,95.18,8,4,16,0,0.0,0.0,4.26,34.25,7473,7279,56,10,20,0,6,54369,216,243,367,1665,1125,353,52.6,52.1,53.2,165,2290
11,11033,2016-2017,River Valley School District,11.1,94.89,5,3,23,0,0.0,0.0,2.08,41.26,7473,7279,56,10,20,0,6,54369,216,243,367,1665,1125,353,52.6,52.1,53.2,165,2290
12,11033,2017-2018,River Valley School District,16.3,94.48,4,3,20,0,0.0,0.0,1.96,39.93,7473,7279,56,10,20,0,6,54369,216,243,367,1665,1125,353,52.6,52.1,53.2,165,2290
13,11033,2018-2019,River Valley School District,38.5,94.74,5,2,23,5,0.0,0.0,0.0,31.68,7473,7279,56,10,20,0,6,54369,216,243,367,1665,1125,353,52.6,52.1,53.2,165,2290
14,11033,2020-2021,River Valley School District,17.1,90.31,6,3,29,7,0.0,0.0,2.0,37.29,7473,7279,56,10,20,0,6,54369,216,243,367,1665,1125,353,52.6,52.1,53.2,165,2290
15,11210,2015-2016,Brandywine Community Schools,32.1,93.92,7,10,48,0,0.0,0.0,0.0,31.46,9343,8737,332,23,38,0,29,50655,358,543,373,1886,762,234,46.1,45.3,47.4,401,2595
16,11210,2016-2017,Brandywine Community Schools,14.9,94.26,9,11,53,0,0.0,0.0,1.96,33.63,9343,8737,332,23,38,0,29,50655,358,543,373,1886,762,234,46.1,45.3,47.4,401,2595
17,11210,2017-2018,Brandywine Community Schools,24.2,93.54,22,10,46,0,0.0,0.0,2.88,20.92,9343,8737,332,23,38,0,29,50655,358,543,373,1886,762,234,46.1,45.3,47.4,401,2595
18,11210,2018-2019,Brandywine Community Schools,44.6,93.63,18,10,37,7,0.0,0.0,3.96,23.62,9343,8737,332,23,38,0,29,50655,358,543,373,1886,762,234,46.1,45.3,47.4,401,2595
19,11210,2020-2021,Brandywine Community Schools,27.3,89.56,16,8,41,10,0.0,0.0,0.0,29.48,9343,8737,332,23,38,0,29,50655,358,543,373,1886,762,234,46.1,45.3,47.4,401,2595
20,11240,2015-2016,Berrien Springs Public Schools,44.0,96.66,22,105,278,0,0.0,0.0,0.0,38.45,12694,8508,2369,90,895,15,298,48036,553,589,519,1256,1918,1311,36.4,35.3,38.1,665,2752
21,11240,2016-2017,Berrien Springs Public Schools,27.4,97.06,14,91,331,0,0.0,0.0,1.21,36.61,12694,8508,2369,90,895,15,298,48036,553,589,519,1256,1918,1311,36.4,35.3,38.1,665,2752
22,11240,2017-2018,Berrien Springs Public Schools,29.6,90.85,21,92,364,0,0.0,0.0,0.96,26.23,12694,8508,2369,90,895,15,298,48036,553,589,519,1256,1918,1311,36.4,35.3,38.1,665,2752
23,11240,2018-2019,Berrien Springs Public Schools,32.9,92.48,31,89,332,17,0.0,6.25,1.58,34.5,12694,8508,2369,90,895,15,298,48036,553,589,519,1256,1918,1311,36.4,35.3,38.1,665,2752
24,11240,2020-2021,Berrien Springs Public Schools,24.3,96.02,34,86,308,28,0.0,0.0,0.0,43.87,12694,8508,2369,90,895,15,298,48036,553,589,519,1256,1918,1311,36.4,35.3,38.1,665,2752
25,11250,2015-2016,Eau Claire Public Schools,5.0,94.73,1,3,151,0,0.0,0.0,0.0,22.99,3815,3444,159,12,0,0,57,57643,153,196,160,798,330,196,45.9,45.5,46.2,362,1009
26,11250,2016-2017,Eau Claire Public Schools,5.0,94.27,1,3,157,0,0.0,0.0,0.0,14.27,3815,3444,159,12,0,0,57,57643,153,196,160,798,330,196,45.9,45.5,46.2,362,1009
27,11250,2017-2018,Eau Claire Public Schools,5.0,91.16,5,1,181,0,0.0,0.0,8.97,1.86,3815,3444,159,12,0,0,57,57643,153,196,160,798,330,196,45.9,45.5,46.2,362,1009
