SchoolDistrict,Estimate Total,Estimate Total White alone,Estimate Total Black or African American alone,Estimate Total American Indian and Alaska Native alone,Estimate Total Asian alone,Estimate Total Native Hawaiian and Other Pacific Islander alone,Estimate Total Some other race alone,Estimate Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Estimate Total Enrolled in school Enrolled in grade 1 to grade 4,Estimate Total Enrolled in school Enrolled in grade 5 to grade 8,Estimate Total Enrolled in school Enrolled in grade 9 to grade 12,Estimate Total Regular high school diploma,Estimate Total Bachelor's degree,Estimate Total Master's degree,Estimate Median age -- Total,Estimate Median age -- Male,Estimate Median age -- Female,"Estimate Total Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months",Estimate Total Family households
Bridgeport-Spaulding Community School District,16001,9324,5306,52,40,0,498,37518,724,732,753,3912,996,291,41.5,40.8,44.1,1858,4197
Remainder of Michigan,12822,12064,58,243,46,1,68,55429,599,649,711,2780,1330,636,46.9,46.6,47.3,668,3548
East Jordan Public Schools,7054,6731,25,47,42,0,70,50580,389,413,366,1772,679,343,46.4,47.1,45.3,425,2004
East Detroit Public Schools,38271,19110,16939,408,399,0,472,43603,2008,2614,2255,7541,2071,902,35.7,34.3,36.8,4296,9326
East Grand Rapids Public School District,12197,11564,163,50,107,0,71,133696,857,1029,817,312,3276,1835,39.0,36.8,40.7,63,3516
East Jackson Community Schools,7813,7561,121,5,10,0,11,44733,391,377,224,2180,625,78,45.6,45.4,45.8,583,2139
East Lansing School District,54370,40829,4040,145,6947,19,498,40170,815,748,792,1201,5362,4024,21.6,21.6,21.5,597,5779
Eaton Rapids Public Schools,17180,16285,379,60,136,0,116,62780,741,761,1098,3406,1319,680,46.1,46.0,46.2,826,4760
Eau Claire Public Schools,3815,3444,159,12,0,0,57,57643,153,196,160,798,330,196,45.9,45.5,46.2,362,1009
Ecorse Public School District,8708,3502,3772,138,0,79,279,28317,507,556,284,1724,415,110,36.8,33.5,39.5,1408,1863
Linden Community Schools,17700,16965,247,47,113,0,43,78627,874,1237,1035,3271,2238,1025,41.7,40.9,42.2,687,5074
Leslie Public Schools,7521,7215,41,3,0,3,43,63345,356,378,420,1625,565,217,40.0,41.0,39.5,426,1966
Hazel Park City School District,20936,16786,2732,58,316,12,130,39027,776,987,1159,4187,2282,714,36.9,37.3,36.5,1919,4488
Hemlock Public School District,9317,9179,45,0,33,0,0,60112,425,384,594,2366,1260,237,47.6,45.7,50.1,296,2717
Hesperia Community Schools,5533,5220,6,76,2,0,167,44250,274,331,267,1505,240,74,41.0,40.2,42.9,737,1540
Highland Park City Schools,10915,644,9784,9,14,0,76,17550,503,683,693,2101,569,224,38.7,34.3,42.5,1829,2233
Hillman Community Schools,3389,3324,18,0,7,0,2,43467,91,120,178,976,229,138,55.0,54.3,55.9,162,968
Hillsdale Community Schools,15046,14556,188,6,64,0,26,44124,665,635,678,3200,1193,500,37.9,37.9,38.0,627,3472
Holland City School District,36729,30472,1533,130,1012,23,2164,56581,1755,1632,2019,4627,4521,2189,32.5,31.4,33.0,1877,8371
Holly Area School District,27863,26246,545,60,196,24,121,70234,1639,1557,1476,4841,3471,1682,41.4,40.1,43.0,1449,7625
Holt Public Schools,29856,24805,2097,45,1442,31,439,63762,1255,1996,1909,3738,4907,1973,39.7,38.3,41.5,1015,7643
Holton Public Schools,6282,5866,17,140,21,0,27,50375,303,399,257,1439,478,96,43.3,45.6,42.5,511,1663
Homer Community Schools,4548,4363,22,31,0,0,7,50392,256,290,243,1202,311,94,38.6,38.8,38.3,213,1216
Hopkins Public Schools,8282,8054,33,56,4,0,12,67098,511,482,497,2215,688,218,37.1,36.5,37.4,120,2291
Houghton Lake Community School District,14801,14425,0,87,61,0,8,39457,556,470,661,4397,886,488,54.9,54.6,55.1,823,4145
Howell Public Schools,56243,53968,330,134,571,113,159,73190,2539,2950,3008,9645,8057,3078,41.4,39.7,43.1,1654,14846
Hudson Area Schools,5904,5682,13,0,8,0,32,49310,283,311,315,1664,360,155,43.0,42.9,43.1,530,1566
Hudsonville Public School District,42000,39832,381,18,349,22,324,79786,2481,2819,2363,6026,6771,2218,32.6,31.9,33.1,655,11303
Huron School District,13877,13235,192,15,49,0,100,80768,761,601,700,2509,1609,769,41.4,42.9,39.5,511,3762
Huron Valley Schools,59794,57286,646,212,622,0,266,84217,2234,3305,3961,8370,10153,4295,45.1,45.1,45.1,1645,16651
Ida Public School District,7976,7779,91,23,0,0,12,84536,382,470,434,1663,669,219,43.2,43.5,42.8,160,2336
Imlay City Community Schools,12566,12104,34,74,0,0,181,54502,827,703,708,2629,792,241,38.4,39.5,36.5,876,3161
Inland Lakes Schools,5626,5378,3,81,3,0,21,50406,193,253,248,1331,659,344,49.6,48.5,51.4,230,1674
Ionia Public Schools,21970,18744,2327,96,80,0,63,49469,865,1151,1218,4546,1454,365,37.6,37.0,38.6,1707,4630
Iron Mountain Public Schools,7406,7193,76,43,52,0,2,44776,300,354,466,1494,925,333,42.0,41.1,43.6,478,1988
Reading Community Schools,4900,4800,7,1,24,0,7,46655,284,271,234,1315,245,149,41.4,38.9,42.4,210,1285
Redford Union School District,23806,13795,8911,181,214,0,189,56620,1295,941,1114,4709,2181,862,39.3,36.8,42.0,2154,5908
Reed City Area Public Schools,10817,10289,234,58,24,0,0,41329,648,450,479,3022,692,304,44.5,43.2,45.8,750,2697
Reese Public Schools,5564,5391,24,34,13,0,60,55266,189,226,220,1506,517,78,44.2,42.5,45.5,436,1635
Kenowa Hills Public Schools,25510,22743,741,18,806,20,211,64170,1173,1117,1377,4057,3933,1169,36.2,36.4,36.1,881,6544
Kalkaska Public Schools,12433,11908,108,79,94,0,38,45561,472,714,591,3403,680,288,45.1,44.2,45.6,784,3552
Kearsley Community Schools,16972,15844,238,236,161,0,65,53538,854,937,1038,3703,1030,438,41.3,39.3,42.7,1532,4578
Central Lake Public Schools,3138,3076,1,16,8,0,3,51087,108,130,120,706,423,192,54.3,54.2,54.4,92,962
Central Montcalm Public Schools,11025,10742,60,8,42,6,75,48259,605,556,539,2576,664,221,44.2,41.1,46.5,718,3034
Centreville Public Schools,4799,4560,90,10,0,0,11,61291,239,226,257,1060,355,253,44.4,42.2,47.4,131,1318
Charlevoix Public Schools,8267,7856,46,198,25,0,12,49167,286,361,383,1385,1321,562,49.7,48.5,50.5,259,2323
Charlotte Public Schools,19452,18550,168,136,84,0,214,62625,836,1018,1144,3765,1575,618,42.3,41.0,44.1,915,5203
Chassell Township School District,1807,1767,0,1,11,17,11,49063,124,130,117,359,228,101,36.7,35.5,37.6,68,448
Cheboygan Area Schools,14391,13161,209,289,92,0,0,42633,401,677,684,3906,1398,575,50.9,49.9,51.9,880,4175
Chelsea School District,16846,16133,172,11,144,0,69,87109,693,868,1058,2081,3214,1646,46.7,44.3,48.6,270,4648
Chesaning Union Schools,10724,10268,80,23,57,0,162,50189,480,478,610,2939,808,294,45.3,44.8,45.7,518,3067
Chippewa Hills School District,19677,18450,247,282,21,0,45,50870,874,778,896,4870,1884,852,47.9,46.4,49.7,899,5530
Chippewa Valley Schools,106679,90383,10337,415,3013,0,415,73345,5695,4998,6047,17738,14608,6086,39.8,38.1,40.9,2649,27827
Clare Public Schools,8411,8107,41,56,48,0,17,50750,583,324,290,1766,719,434,41.1,41.0,41.2,296,2240
Clarenceville School District,11881,9003,1974,104,445,0,41,42944,539,561,393,2129,1107,466,42.1,41.9,43.0,404,2956
Clarkston Community School District,45616,41898,1305,55,816,0,689,93548,2423,2479,3023,5472,8242,4025,41.4,39.8,42.9,1132,12503
Clawson City School District,12235,11406,209,7,207,0,177,67049,468,343,476,2117,2310,1058,41.1,39.6,44.3,181,2876
Climax-Scotts Community School District,3799,3603,19,0,0,0,15,61938,146,214,104,799,456,134,46.0,44.8,47.2,122,1085
Clinton Community Schools,5744,5595,46,0,19,3,16,66159,170,272,330,1159,769,332,46.5,44.7,47.8,249,1640
Clintondale Community Schools,16542,10875,4287,65,316,168,228,47165,859,930,875,3913,941,286,37.5,37.6,37.2,1572,4320
Clio Area School District,19930,18968,296,26,47,21,78,54500,633,991,928,4506,1441,569,44.4,41.8,45.8,953,5669
Colon Community School District,5389,5282,30,6,23,0,0,47500,327,306,257,1110,483,161,40.0,39.1,42.5,170,1437
Coldwater Community Schools,22350,20516,929,137,202,0,147,49375,982,1013,1036,4757,1784,610,42.7,42.8,42.5,819,5393
Decatur Public Schools,5280,4345,112,273,19,0,215,46490,324,391,373,1066,325,136,41.8,41.9,41.8,422,1410
Deckerville Community School District,4112,3984,5,16,4,0,44,49331,176,228,138,1295,225,130,49.5,46.6,51.3,197,1217
Delton-Kellogg School District,12170,11685,103,29,10,0,85,60826,400,642,591,3096,1082,432,47.5,46.4,49.7,378,3751
DeTour Area Schools,2084,1780,0,218,4,0,3,43083,32,116,93,537,169,101,58.7,57.7,60.1,77,624
Detroit City School District,677223,98534,532605,2285,10659,185,19760,29484,36815,36608,40496,111864,37798,19488,34.7,32.7,36.4,115328,140863
Dexter Community School District,21531,20495,122,22,263,0,135,108315,1426,1366,1345,1891,4443,3053,43.4,43.6,43.0,123,6224
Dowagiac Union Schools,15141,12340,1013,511,74,21,546,45229,649,573,1041,2700,1110,383,41.7,40.5,42.2,1448,4023
Dryden Community Schools,4726,4643,9,0,0,0,19,76344,205,220,225,1068,480,231,44.3,42.2,45.6,116,1340
Dundee Community Schools,8911,8813,61,15,17,0,3,61652,416,526,538,1956,788,334,41.8,40.6,42.6,391,2536
Durand Area Schools,10459,10036,43,25,47,0,51,53125,444,442,522,2670,578,261,46.6,44.9,48.3,443,2952
East China School District,29230,28400,111,18,258,0,156,63739,1239,1643,1742,6350,2694,1270,44.8,43.4,46.9,746,8000
Wayland Union Schools,18174,17372,109,63,40,0,52,65408,1172,1096,914,4165,1772,469,36.0,36.1,35.8,494,4929
Watersmeet Township School District,1283,912,12,310,23,2,0,41375,118,25,32,403,160,60,58.5,59.8,55.7,83,400
Watervliet School District,6469,5937,40,39,26,0,142,42688,369,323,385,1443,497,146,40.7,39.7,42.9,542,1815
Waverly Community Schools,20711,14656,3201,48,1027,12,724,58846,790,749,1141,3119,3351,1158,41.1,38.7,44.7,887,5424
Webberville Community Schools,3992,3883,0,2,0,0,0,71146,266,154,175,931,349,130,37.3,35.8,38.9,47,1171
West Bloomfield School District,33561,24922,4387,72,3287,0,63,95746,1098,1504,1753,2675,7129,4879,45.7,44.2,46.9,508,9258
West Branch-Rose City Area Schools,16430,15912,50,112,131,0,49,42057,566,778,831,4310,988,465,50.9,50.1,51.8,955,4679
West Ottawa Public School District,52386,41393,930,141,3389,13,5006,67904,2870,2982,3380,8717,6470,2926,36.4,34.9,37.6,2637,14524
Reeths-Puffer Schools,21627,20263,602,119,104,0,113,65027,947,1336,1104,3996,2267,1003,43.1,41.0,44.6,726,6271
Republic-Michigamme Schools,1297,1265,0,10,0,2,9,35815,35,63,60,377,178,49,56.6,55.2,57.6,57,390
Richmond Community Schools,12597,12038,202,0,0,0,47,69708,728,508,736,2592,1154,293,41.6,40.6,43.1,475,3349
River Rouge School District,8200,3452,4004,4,0,0,573,26590,406,331,640,1730,374,43,35.8,35.6,35.9,1238,2007
River Valley School District,7473,7279,56,10,20,0,6,54369,216,243,367,1665,1125,353,52.6,52.1,53.2,165,2290
Riverview Community School District,12545,11634,634,17,40,0,81,57161,439,329,600,2986,1095,401,46.2,45.3,47.6,338,3242
Rochester Community School District,93724,76793,3813,217,10277,0,684,99903,5198,5217,6236,8013,20205,13777,42.0,40.3,43.1,853,25649
Rockford Public Schools,44614,42436,357,124,429,14,401,90339,2633,3095,3056,5150,8687,3777,38.9,38.1,39.7,841,12571
Rogers City Area Schools,5221,5026,33,23,32,0,12,43598,161,227,235,1415,454,178,52.9,53.3,51.9,187,1533
Western School District,13259,12654,171,36,56,8,70,61306,652,926,884,2234,1560,487,34.7,34.2,35.3,622,3219
Westwood Heights Schools,5602,2934,2422,15,0,0,0,37218,241,273,208,1349,348,88,41.9,36.6,45.4,677,1547
White Cloud Public Schools,7373,6796,226,138,15,0,106,42230,369,370,356,1931,378,114,45.5,42.6,47.4,634,2011
White Pigeon Community Schools,6510,6328,14,15,38,0,22,54038,324,355,225,1522,516,191,44.7,44.6,44.9,248,1775
Whitefish Township Schools,545,502,1,18,0,0,3,37036,35,45,45,115,71,40,54.5,53.3,57.4,0,148
Whiteford Agricultural School District,4211,3925,91,0,126,0,34,67679,165,232,184,1262,450,132,47.3,43.5,49.0,36,1235
Whitehall School District,12185,11235,302,98,104,0,18,57386,673,779,726,2019,1541,557,42.0,40.6,43.4,641,3339
Whitmore Lake Public Schools,9284,8899,72,21,89,0,11,63291,325,485,407,1599,1188,567,39.3,38.4,39.6,318,2417
Whittemore-Prescott Area Schools,7087,6849,30,126,2,0,2,34550,293,278,216,1851,249,123,48.1,47.7,48.6,768,2022
Williamston Community Schools,10640,10067,52,0,286,0,35,96692,523,505,518,1156,2030,1069,43.7,45.8,42.6,71,2907
Wolverine Community Schools,2752,2617,0,49,4,0,0,45865,113,120,129,792,164,58,46.2,45.2,46.6,150,751
Woodhaven-Brownstown School District,32717,25950,3287,43,2238,0,285,61486,1430,1743,2044,6305,3138,1731,42.1,40.3,43.9,1730,8707
Wyandotte City School District,25138,24039,293,50,127,0,259,53110,1098,1165,1050,5537,2076,899,42.7,40.3,45.1,1236,6415
Wyoming Public Schools,35019,25947,2933,326,1135,0,2484,51441,2196,1702,1320,5948,3750,1014,33.0,32.8,33.4,2436,8344
Yale Public Schools,10961,10599,30,42,25,0,22,57603,485,645,595,2829,683,327,44.0,43.7,44.3,524,3054
North Branch Area Schools,10948,10747,29,22,0,2,0,59913,550,656,553,2219,817,397,42.2,41.8,42.7,578,3129
Grosse Pointe Public Schools,49582,41952,4947,104,1261,0,85,101485,2500,3076,3193,3643,11327,6393,44.6,43.6,45.7,700,14240
Ironwood Area Schools,7686,7323,177,47,19,21,13,36795,338,297,333,1699,884,325,48.6,46.8,50.3,465,1907
Ishpeming Public School District,6762,6540,31,28,44,5,0,45788,315,305,260,1721,964,202,42.8,41.3,45.0,375,1595
Ithaca Public Schools,7428,7099,56,66,16,0,30,49398,443,433,464,1757,449,192,40.0,40.7,39.4,398,2014
Jackson Public Schools,54663,42089,9103,192,616,33,527,41122,2612,2979,3013,9351,5390,1937,36.4,35.2,37.8,5562,12926
Jefferson Schools,12160,11584,62,20,26,0,198,64558,519,740,823,2681,1008,312,42.4,43.0,41.8,650,3431
Jenison Public Schools,28967,27282,222,110,297,11,166,69173,1583,1322,1708,4895,4439,1268,38.2,35.7,40.3,366,7925
Johannesburg-Lewiston Area School District,5838,5686,6,63,22,1,7,47538,133,238,423,1628,492,181,52.8,53.3,52.1,301,1654
Jonesville Community Schools,6033,5704,69,94,29,0,5,51929,303,330,487,1251,443,180,42.9,42.3,44.5,313,1536
Kalamazoo Public School District,111232,78023,21732,247,3023,32,1009,41510,4584,4254,4354,10234,12984,7267,28.2,27.0,29.5,9110,20833
Kaleva Norman Dickson School District,5081,4877,45,55,11,0,6,42192,235,201,240,1339,341,115,52.7,52.2,53.6,192,1325
Perry Public School District,8952,8735,80,3,15,0,10,69488,240,587,575,1668,926,412,42.0,41.9,42.0,268,2648
Pellston Public Schools,5298,4825,52,200,40,2,10,46667,194,295,338,1282,505,253,47.3,48.3,46.0,293,1552
Pennfield School District,9136,8370,306,14,34,0,26,55175,461,382,448,1905,1015,244,45.8,43.5,48.4,396,2390
Pentwater Public School District,2390,2347,0,0,0,0,0,56076,87,80,128,399,400,177,56.8,57.6,54.9,88,797
Pewamo-Westphalia Community School District,4188,4120,4,0,3,0,12,67955,281,287,218,914,479,108,38.2,37.0,39.4,110,1038
Pickford Public Schools,2181,2056,1,77,14,5,0,51458,72,70,94,665,240,65,52.6,51.0,53.6,38,661
Pinckney Community Schools,25842,25110,105,14,226,11,97,79821,870,1052,1836,4202,4201,1602,46.3,46.5,46.0,357,7521
Pinconning Area Schools,12207,11792,46,87,38,0,50,51977,486,653,626,3638,679,279,46.9,46.4,47.4,679,3588
Pine River Area Schools,7962,7738,23,28,37,0,5,46039,443,480,453,2003,456,190,43.2,43.9,42.5,496,2030
Pittsford Area Schools,3038,2824,50,11,0,0,71,53446,157,107,150,744,142,73,46.5,45.4,47.9,39,862
Plainwell Community Schools,15703,14827,75,41,16,0,85,63275,1024,1106,893,2886,2025,899,40.4,39.1,41.6,942,4264
Plymouth-Canton Community Schools,121828,94005,7552,191,16349,0,706,89482,6334,6750,7648,12438,25206,15451,41.0,40.2,41.5,2165,33207
Pontiac City School District,78675,37081,31964,219,3491,62,1475,37553,4220,3237,3758,11970,6427,3107,33.0,30.8,35.0,9379,16736
Port Huron Area School District,66134,59017,2920,103,550,26,352,46671,3120,3829,3467,12541,5128,2398,40.6,38.8,42.6,5340,16801
Houghton-Portage Township Schools,10640,9181,205,45,874,5,90,34846,305,250,222,885,1067,694,22.8,21.9,27.3,238,1509
Portage Public Schools,54168,47378,2392,282,2125,0,199,69380,3179,3234,2841,6144,10240,5142,38.5,37.2,40.0,2215,14330
Portland Public School District,12458,11647,430,9,71,6,84,71237,859,886,705,2472,1348,462,38.6,38.4,38.9,481,3471
Posen Consolidated School District,1984,1936,17,5,1,0,20,43100,53,99,59,646,119,49,55.5,55.0,55.8,24,614
Potterville Public Schools,5502,5009,169,53,30,0,0,55028,318,201,274,882,505,180,38.6,36.5,39.7,459,1513
North Central Area Schools,2859,2746,5,24,2,0,0,41764,112,144,118,999,150,22,50.2,48.0,51.8,169,742
Quincy Community School District,7868,7752,17,11,20,0,12,54577,446,505,400,2005,531,219,38.5,36.0,41.2,296,2005
Rapid River Public Schools,2578,2385,0,52,5,2,31,52286,48,123,135,639,250,92,53.6,54.7,52.9,167,750
Ravenna Public Schools,5880,5756,21,24,12,8,13,58545,309,376,336,1517,359,121,40.0,37.9,41.7,285,1666
Roscommon Area Public Schools,12014,11510,36,149,21,0,47,41395,421,416,504,3159,964,564,56.2,56.5,56.0,778,3392
Utica Community Schools,185325,165144,6006,247,8831,31,1361,73609,8315,8847,9907,31569,26102,12354,42.2,40.8,43.4,5212,50133
Van Buren Public Schools,49255,32561,12943,117,1538,25,146,57675,2368,2642,2137,8545,5744,2899,39.5,37.2,41.3,3039,12512
Vanderbilt Area Schools,1931,1839,7,41,3,0,3,40577,105,53,64,583,127,44,48.3,47.1,50.3,148,487
Vandercook Lake Public Schools,4866,4791,26,4,0,0,0,44867,373,352,273,1020,368,134,41.1,41.2,41.0,458,1252
Van Dyke Public Schools,19149,10685,6912,15,819,0,139,33412,1202,1044,1086,4189,795,108,32.5,32.3,32.7,3021,4775
Vassar Public Schools,8989,8488,192,0,13,0,20,41108,444,556,635,2175,459,185,39.2,37.5,40.6,778,2402
Vestaburg Community Schools,3776,3689,6,4,12,0,7,54007,218,121,224,1002,254,89,43.5,44.6,42.0,170,1055
Vicksburg Community Schools,16118,15519,191,44,40,0,2,72384,939,1076,728,2795,2084,837,39.7,38.9,40.6,525,4483
Wakefield-Marenisco School District,3452,2811,478,29,2,0,15,40354,66,78,153,859,242,57,46.9,41.4,58.6,84,617
Waldron Area Schools,2190,2162,0,0,0,0,2,46420,110,123,101,560,115,27,42.9,41.4,43.2,161,627
Walkerville Rural Community School District,1450,1379,7,22,15,0,12,39479,90,83,45,357,88,18,40.4,40.9,40.3,150,384
Waterford School District,78269,68012,4057,353,1544,30,1697,60737,3233,3578,3811,13677,10687,4099,41.8,40.4,43.1,3052,20219
Walled Lake Consolidated Schools,104166,84966,9214,297,7086,0,528,76587,4806,4734,5792,12633,21311,9496,41.5,40.3,42.7,2192,26838
Warren Consolidated Schools,117846,92745,9920,206,12080,57,390,56972,4930,4823,5349,22233,15051,5892,41.5,38.8,43.8,7382,30591
Warren Woods Public Schools,22000,16705,3479,73,1224,16,29,52737,887,1004,1092,5337,2164,756,42.6,40.2,44.3,1041,5696
Camden-Frontier School District,3804,3773,0,7,3,0,3,51576,203,275,209,866,172,82,39.3,41.0,37.5,313,981
Cadillac Area Public Schools,21548,20612,166,83,165,0,9,44401,1157,1088,1070,4503,2236,743,43.6,41.4,44.6,1542,5800
Caledonia Community Schools,24576,23414,131,22,376,0,83,83388,1648,1522,1314,3298,4361,1509,37.3,37.6,36.9,411,6695
Calumet Public Schools,8163,7776,52,23,10,0,57,41696,329,320,468,1872,947,282,46.3,47.8,45.5,501,2189
Capac Community School District,9149,8667,23,5,3,0,210,69452,495,432,649,2305,551,274,42.6,41.4,43.3,313,2610
Carman-Ainsworth Community School District,30524,19361,8779,224,424,0,304,41055,1447,1292,1755,6023,2202,1109,40.3,36.8,43.3,3616,7769
Carney-Nadeau Public Schools,1508,1435,9,32,0,0,2,42411,36,123,75,442,121,41,47.8,47.0,48.3,77,440
Caro Community Schools,11355,10918,169,31,108,0,0,45293,478,527,708,2674,877,385,46.1,43.4,48.2,595,2948
Carrollton School District,5783,4541,937,0,0,0,81,36991,399,258,397,1056,422,130,33.8,37.1,31.9,539,1433
Carson City-Crystal Area School District,10448,8950,1127,34,36,5,47,43905,479,624,470,2089,412,208,40.1,39.5,41.3,950,2142
Carsonville-Port Sanilac School District,3642,3523,8,32,11,0,6,46185,184,204,136,1049,276,152,48.9,47.3,50.1,173,1062
Caseville Public Schools,1995,1920,9,18,28,0,0,45403,66,10,74,554,177,94,61.6,60.6,62.3,42,556
Cass City Public Schools,7790,7678,25,11,16,0,26,48403,369,354,453,2027,515,208,44.1,42.4,46.1,287,2147
Cassopolis Public Schools,8109,6464,1094,48,107,0,0,51881,421,272,556,1737,706,245,46.0,44.4,47.7,444,2346
Cedar Springs Public Schools,20519,19772,168,10,97,0,70,64613,1217,1147,1328,4509,2073,612,37.9,38.0,37.9,760,5401
Center Line Public Schools,20264,13845,4147,31,1605,5,112,46003,1032,1130,963,4750,1518,421,39.9,39.2,41.3,1736,4779
Oxford Area Community Schools,26152,24906,88,31,488,0,129,83171,1285,1436,1703,3512,4335,1835,41.3,40.3,42.1,511,7134
Parchment School District,10063,8816,854,30,74,0,25,57704,682,561,485,1483,1333,570,37.5,36.0,39.4,704,2653
Paw Paw Public School District,13355,12483,49,57,86,6,286,63120,649,638,622,2390,1679,467,40.7,40.5,40.8,615,3730
Peck Community School District,2230,2138,33,0,2,0,3,49500,121,103,154,584,113,41,44.7,49.1,42.9,113,616
Zeeland Public Schools,31357,27854,330,30,1360,0,985,71014,1712,2128,2064,6205,3986,1549,37.7,35.4,38.9,488,8597
Lansing Public School District,124494,77915,26725,705,4607,41,3512,40780,6592,6069,5613,17179,13452,5345,32.8,31.5,34.1,13515,26299
Genesee School District,2813,2609,90,7,0,0,37,53214,45,101,144,700,100,40,46.9,47.4,46.1,132,778
Gibraltar School District,21882,20052,1013,99,197,0,146,70952,1114,1108,1159,4024,2154,1044,40.7,40.1,41.5,716,5665
Gladstone Area Schools,9234,8820,0,130,18,0,0,55495,412,481,582,2143,1095,301,45.6,44.0,46.5,500,2521
Gladwin Community Schools,13411,12981,81,41,123,0,27,43046,601,527,643,3361,916,548,50.1,48.8,50.7,931,3791
Glen Lake Community Schools,4941,4804,49,19,11,0,7,61908,90,153,274,855,955,488,56.6,55.9,57.1,85,1522
Gobles Public School District,5963,5510,81,31,13,13,38,57518,342,372,380,1153,497,252,42.5,38.4,47.0,492,1631
Godfrey-Lee Public Schools,8281,5330,596,97,94,15,1568,47120,452,854,772,1209,376,92,30.0,25.7,32.3,1103,1956
Godwin Heights Public Schools,12749,7970,1337,467,195,0,1657,43575,590,917,567,2223,857,113,34.2,33.7,35.1,1231,3080
Coopersville Public School District,13642,13060,3,134,159,0,17,64970,758,703,904,2799,1556,509,36.0,35.2,36.7,513,3685
Corunna Public School District,10101,9700,104,27,7,0,5,55726,539,493,491,2331,658,339,45.0,43.5,46.1,312,2640
Covert Public Schools,2948,1802,632,0,6,0,343,33004,184,102,183,324,131,55,41.6,42.0,41.3,249,711
Crawford AuSable Schools,12019,11525,84,55,116,0,49,47941,536,436,631,2404,1097,424,49.2,48.1,50.5,702,3529
Croswell-Lexington Community School District,14056,13541,79,45,35,0,179,46212,627,605,895,3282,1184,555,47.2,46.4,48.2,687,4010
Forest Park School District,4427,4321,17,19,28,0,0,39841,175,153,226,1298,420,185,54.9,54.9,55.0,127,1150
Dansville Schools,4907,4745,8,22,22,9,16,64785,236,277,304,1061,478,214,44.3,44.0,44.6,153,1428
Davison Community Schools,31117,28532,1099,64,550,23,193,52165,1564,1716,1592,6040,3128,1457,41.8,39.0,44.3,972,8585
Hartland Consolidated Schools,27899,27072,133,38,173,0,17,97350,1594,1762,2058,3953,4838,2075,42.0,41.0,43.0,586,7608
Haslett Public Schools,16856,15144,295,35,686,0,195,66826,528,1155,995,1652,2892,1881,42.2,41.2,44.1,315,4251
Hastings Area School District,19288,18514,56,112,236,0,115,55527,951,780,981,4530,1468,673,42.4,41.1,43.9,703,5208
Swartz Creek Community Schools,24999,22930,1315,11,84,0,43,59967,1228,1373,1508,5136,2121,1074,42.7,41.2,44.7,1434,7318
Tawas Area Schools,10973,10511,92,100,55,0,37,43962,317,362,473,2866,1012,517,54.2,52.3,55.5,546,3072
Taylor School District,67011,48520,14122,294,1005,0,1235,46864,3384,3613,3432,15492,3878,1017,37.8,35.7,40.4,6305,16725
Tecumseh Public Schools,18254,17412,81,77,89,15,32,63651,904,1019,1130,3410,2245,1196,41.7,41.4,42.1,704,5129
Tekonsha Community Schools,1986,1902,7,16,6,0,3,44493,98,119,83,566,127,78,43.7,43.4,44.0,124,543
Thornapple Kellogg School District,15790,15136,155,13,76,3,138,69434,1062,1135,796,3119,1931,571,37.7,36.8,38.4,530,4543
Three Rivers Community Schools,18008,15480,1067,61,195,0,269,51403,856,1127,953,3741,1587,649,38.9,37.8,39.8,1252,4807
Traverse City Area Public Schools,84313,80261,688,761,516,26,347,61731,3994,3920,3655,12637,14351,6181,43.3,41.7,45.0,3547,22084
Trenton Public Schools,17990,17256,156,7,258,0,33,64770,893,680,943,3719,2084,1046,46.9,43.4,49.3,549,4684
Hart Public School District,7644,7000,228,103,10,0,151,42500,362,421,489,1671,571,241,43.5,38.8,46.9,652,2059
Harper Creek Community Schools,14945,13602,322,243,460,0,0,61813,598,860,949,2621,2078,723,45.0,44.1,46.1,388,4135
Harper Woods City Schools,8371,2377,5577,29,80,0,32,48280,299,490,483,1530,688,400,38.1,32.5,40.6,705,2041
Harrison Community Schools,12780,12299,84,58,49,0,62,32328,428,424,536,3190,503,259,50.3,48.8,51.6,1291,3412
Hartford Public School District,6477,5089,39,111,66,14,801,46526,568,532,372,1246,264,48,34.6,35.1,33.2,893,1563
Public Schools of Petoskey,18521,17436,107,314,79,27,52,54762,873,797,912,2640,2973,1307,42.7,40.5,46.2,568,5050
Fowlerville Community Schools,16368,15844,23,80,134,0,59,71076,857,1018,1052,3644,1477,494,38.2,38.8,37.5,644,4434
DeWitt Public Schools,14751,13870,476,70,113,0,56,91932,771,1055,1018,1355,2961,1197,40.2,40.6,39.8,176,4099
Dearborn City School District,103318,92823,4099,213,2453,49,604,51451,6287,7378,7209,12099,11007,5635,32.5,30.9,33.8,14733,22884
Dearborn Heights School District 7,12185,10770,539,173,210,0,202,51411,432,575,488,2957,937,377,38.1,36.6,39.1,964,3267
Westwood Community Schools,18948,8839,8692,20,160,0,282,37321,1278,1266,804,3580,1065,381,33.6,31.1,35.8,3183,4182
Alanson Public Schools,3906,3323,3,287,12,0,21,50272,149,223,178,740,429,112,37.1,36.0,37.8,93,1069
Frankenmuth School District,9734,9594,77,9,0,0,7,70268,322,518,544,1831,1784,686,48.0,47.0,49.1,84,2717
