SchoolDistrict,Estimate Total,Estimate Total White alone,Estimate Total Black or African American alone,Estimate Total American Indian and Alaska Native alone,Estimate Total Asian alone,Estimate Total Native Hawaiian and Other Pacific Islander alone,Estimate Total Some other race alone,Estimate Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Estimate Total Enrolled in school Enrolled in grade 1 to grade 4,Estimate Total Enrolled in school Enrolled in grade 5 to grade 8,Estimate Total Enrolled in school Enrolled in grade 9 to grade 12,Estimate Total Regular high school diploma,Estimate Total Bachelor's degree,Estimate Total Master's degree,Estimate Median age -- Total,Estimate Median age -- Male,Estimate Median age -- Female,"Estimate Total Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months",Estimate Total Family households
Forest Hills Public Schools,50639,45100,731,121,3420,22,36,104785,2809,3392,3646,3559,12545,6055,41.2,40.2,42.1,398,14046
Britton Deerfield School District,3826,3705,10,13,0,0,22,69861,140,139,175,990,356,112,46.5,43.8,48.2,102,1100
Lapeer Community Schools,41755,39401,949,106,420,18,138,56837,1913,1923,2423,9025,3759,1461,45.1,43.4,47.0,1861,11227
Lawrence Public School District,3960,3372,20,8,5,0,430,54680,204,178,259,750,384,181,41.7,38.7,45.3,223,1006
Lawton Community School District,5543,4952,76,16,14,0,150,53529,212,303,303,928,545,219,42.9,41.3,45.3,433,1584
Leland Public School District,3443,3347,19,6,36,0,0,63939,143,174,166,429,759,427,51.6,47.4,53.9,83,1032
Les Cheneaux Community Schools,2035,1697,0,227,12,0,5,49648,38,57,97,466,281,136,54.6,53.3,57.6,75,678
Saginaw Township Community Schools,39562,32125,4085,138,1634,12,656,51842,1647,1551,1582,6351,5606,2668,44.2,41.7,46.2,1197,10591
Royal Oak City School District,59817,53852,2257,43,2334,20,199,78204,2000,1638,1853,6551,15122,7259,36.1,34.9,37.8,620,13588
Rudyard Area Schools,9428,5591,1870,1156,65,0,21,43797,429,417,449,1462,522,165,37.1,38.5,33.3,653,1660
Saginaw City School District,57942,27794,24633,234,444,0,1628,30952,2826,3382,3537,10543,2685,1068,34.0,31.2,36.4,8804,13006
Bronson Community School District,7749,7138,45,21,41,17,322,52266,352,518,502,1901,326,133,37.8,36.5,40.0,390,2020
Columbia School District,11973,11490,198,32,94,0,0,61158,370,633,590,2685,1417,573,49.5,48.0,50.6,356,3395
Brown City Community School District,5636,5543,8,7,10,0,5,50797,342,357,366,1399,203,113,39.1,41.3,37.5,278,1457
Flat Rock Community Schools,10196,9174,686,21,9,0,173,58827,620,618,735,1775,923,395,36.9,33.4,40.3,717,2697
Buchanan Community School District,9959,8563,864,130,0,0,19,52330,484,644,858,2079,848,359,42.4,42.2,42.8,804,2689
Brandywine Community Schools,9343,8737,332,23,38,0,29,50655,358,543,373,1886,762,234,46.1,45.3,47.4,401,2595
Allegan Public Schools,17212,15908,699,66,167,0,67,54756,863,824,935,4253,1341,548,40.5,38.0,43.8,753,4594
Allen Park Public Schools,19546,18162,321,22,116,0,513,75469,833,944,834,3747,2128,1143,42.4,39.7,44.5,518,5309
Lincoln Consolidated School District,31281,21449,6281,91,549,29,235,72377,1493,1728,1936,3991,4172,2198,35.5,35.3,35.8,1552,7987
Lincoln Park Public Schools,36883,28876,3145,101,163,0,3004,43470,2307,2004,1941,7954,1529,525,36.7,36.0,37.1,3525,8753
Litchfield Community Schools,2954,2875,7,37,0,0,5,42439,125,178,174,837,107,72,42.9,42.0,43.2,208,797
Livonia Public Schools,112110,98150,7589,241,4140,55,315,70804,4594,4531,4871,17760,18886,7869,44.9,43.1,46.4,2173,29907
L'Anse Creuse Public Schools,71509,60091,7993,199,904,19,355,65563,3191,3118,4196,13558,7427,3028,39.9,37.6,42.2,3320,18667
Lowell Area Schools,22002,21122,221,49,111,0,110,79358,965,1215,1461,3539,3381,1116,41.9,41.5,42.3,359,6334
Coleman Community School District,5915,5757,3,50,24,0,30,43896,251,217,254,1716,369,160,41.0,37.1,43.5,539,1673
Coloma Community Schools,9652,9118,66,4,39,0,46,57177,422,546,692,1743,904,337,44.0,44.2,43.7,536,2666
Fairview Area School District,2712,2627,8,31,0,4,13,40873,158,154,75,642,172,69,54.1,53.8,54.3,140,773
Comstock Public Schools,16796,13236,2205,19,287,27,105,42622,636,706,664,2838,1497,769,35.5,34.8,35.8,1738,4021
Comstock Park Public Schools,14672,13267,766,65,211,0,174,53519,632,751,746,2334,1988,660,35.9,35.4,37.0,749,3861
Concord Community Schools,4906,4577,102,13,36,0,6,60604,178,276,286,954,458,218,43.5,42.6,43.8,157,1398
Constantine Public School District,7633,7230,17,10,64,0,23,55063,401,337,388,1955,478,152,44.7,44.6,44.9,350,2196
Grosse Ile Township Schools,10179,9756,137,11,204,0,0,101196,417,381,645,1208,2009,1155,52.6,52.6,52.7,136,3225
Gull Lake Community Schools,20056,18366,640,20,543,10,24,72691,771,1166,1486,2838,3819,1685,42.8,44.5,41.7,602,5523
Hale Area Schools,4842,4706,1,27,8,10,0,36369,91,144,261,1303,322,132,58.1,58.8,57.2,324,1463
Hamilton Community Schools,15210,14745,20,48,116,0,34,67826,875,968,960,3742,1560,594,39.0,37.7,40.5,226,4204
Hamtramck Public Schools,21941,11415,2967,56,5707,92,396,25478,1499,1463,1590,3977,1023,363,28.4,27.9,28.9,4740,4233
Hancock Public Schools,6939,6559,18,22,96,0,18,43872,397,301,368,1242,850,419,39.1,36.1,41.0,368,1423
Hanover-Horton Schools,6783,6553,18,138,17,0,42,64214,347,321,479,1200,883,311,47.6,43.6,51.1,141,1987
Harbor Springs School District,6612,6225,20,156,48,1,24,64920,278,238,377,906,1366,653,54.4,54.9,53.8,163,2023
New Lothrop Area Public School,3699,3522,73,8,2,0,27,68125,198,172,213,909,292,108,45.1,46.7,44.1,111,1060
Negaunee Public Schools,8640,8300,37,66,18,0,4,55357,540,445,355,1638,1294,309,38.6,37.3,39.5,271,2287
New Buffalo Area School District,4163,3912,54,0,95,0,88,60577,205,139,212,608,847,399,55.8,53.2,56.8,150,1176
New Haven Community Schools,17892,15086,1589,88,578,0,143,70667,1349,1036,1040,2662,1646,827,39.6,39.0,40.0,629,4379
Newaygo Public School District,10323,9628,131,38,14,0,379,44290,448,613,477,2562,736,358,42.9,42.4,43.6,898,2726
Tahquamenon Area Schools,7389,6025,496,390,17,2,29,42247,264,305,381,1558,645,214,46.8,44.9,51.5,337,1740
N.I.C.E. Community Schools,7258,6986,10,38,41,0,5,62795,289,432,394,1952,984,169,46.9,47.1,46.5,259,2121
Niles Community School District,23333,19673,2113,81,217,0,221,42564,1368,1497,1132,4464,1889,876,39.0,38.2,40.0,2070,6140
Marquette Area Public Schools,31902,29047,986,288,490,26,51,48490,1061,968,1112,3996,4954,1738,33.1,33.1,33.3,724,6174
Battle Creek Public Schools,41568,27885,9332,377,966,0,297,33744,2332,2444,2183,9215,2484,798,34.8,33.2,36.8,4693,9397
Bessemer Area School District,2993,2896,34,28,10,0,1,41488,122,130,174,688,342,90,48.1,45.4,49.6,159,790
Harbor Beach Community Schools,4436,4268,25,21,29,0,11,44054,206,193,289,1257,321,143,49.0,47.4,50.3,190,1242
St. Ignace Area Schools,3712,2318,82,1026,38,12,7,43320,152,143,164,957,289,145,50.0,47.7,52.2,281,1031
Ewen-Trout Creek Consolidated Schools,2240,2150,2,34,12,4,4,38628,42,72,93,847,198,67,58.7,58.9,58.5,32,679
Wayne-Westland Community School District,86715,60291,19529,487,2897,7,1434,46732,4113,3941,4364,17686,7464,2826,38.9,37.5,40.3,6744,20698
Crestwood School District,27428,24025,2016,29,566,0,263,51231,1689,1387,1626,5648,2799,1314,38.4,37.7,39.5,2405,6640
Bad Axe Public Schools,6249,6003,27,12,90,0,9,44864,311,266,300,1570,503,146,44.2,41.3,46.6,366,1589
North Dickinson County Schools,2313,2210,3,46,6,0,0,50446,102,95,127,629,155,49,47.3,49.8,46.1,82,690
Saline Area Schools,28397,25651,426,26,1067,0,272,110321,1742,1942,2200,2356,5716,3986,42.9,40.9,43.7,684,7490
Sand Creek Community Schools,3463,3295,98,15,0,0,21,52917,176,231,258,800,202,76,42.6,45.8,41.4,123,947
Sandusky Community School District,6569,6275,75,32,48,3,18,40686,340,303,255,1955,328,208,45.4,42.1,47.9,356,1700
Saranac Community Schools,7378,7153,11,14,22,0,74,64067,311,477,373,1763,803,243,42.5,41.6,43.3,188,2035
Saugatuck Public Schools,4798,4481,25,114,73,0,36,82787,158,197,177,840,1014,604,53.9,53.6,54.4,72,1495
Sault Ste. Marie Area Schools,20330,15116,604,2873,246,49,1,42312,753,982,813,3246,2489,660,37.4,36.2,39.7,1370,4603
Schoolcraft Community Schools,5173,5003,21,11,14,0,21,78571,270,266,352,823,896,302,39.7,37.2,41.9,168,1426
Shelby Public Schools,7975,7582,47,72,25,0,169,44290,444,437,527,1500,747,293,42.0,41.0,43.5,755,2255
Shepherd Public School District,8938,8242,33,236,6,0,87,51850,492,517,461,2334,832,292,38.9,37.4,40.2,635,2391
South Lake Schools,19753,15612,3548,25,217,0,96,56250,765,724,729,3263,2959,1224,45.0,42.6,48.3,828,4893
South Lyon Community Schools,47976,44121,1243,46,1324,0,132,87636,2593,2824,2929,6000,8425,4362,38.4,37.4,39.9,891,12938
South Redford School District,22788,10850,10944,90,131,0,376,57310,862,1023,1798,4117,2332,921,41.1,39.4,41.9,1798,5687
South Haven Public Schools,13266,11331,839,37,99,0,442,48420,619,563,601,2245,1456,808,46.8,44.6,49.4,870,3458
Southfield Public School District,71220,16203,50070,121,1694,0,555,55933,2640,3127,3480,8435,11052,7067,42.8,39.6,45.2,2832,16761
Southgate Community School District,30647,26611,1682,199,1110,0,389,55114,978,1089,1085,7033,3048,1114,44.3,42.5,46.1,1642,7663
Sparta Area Schools,15180,14635,99,64,152,0,103,62308,707,754,1004,3268,1526,508,41.3,39.4,42.7,533,4152
Spring Lake Public Schools,12843,12296,32,54,198,0,61,74428,796,895,716,1487,2454,1070,42.7,41.6,44.2,128,3761
Springport Public Schools,5706,5561,15,22,0,0,3,62422,263,303,393,1365,350,169,44.4,43.7,45.0,249,1576
St. Charles Community Schools,6315,6089,26,10,30,0,39,53247,277,301,316,1710,428,163,45.7,43.7,47.7,426,1783
