ISD Code,ISD Name,District Code,District Name,County Code,County Name,Entity Type,School Level,Locale,Fiscal Year,Revenue,Expenditures,Fund Balance,Years in Deficit,Pupil FTE Count,Resident Pupils Leaving,Non-Resident Pupils Coming,Current Ratio,Current Ratio Quartile,Fund Balance Change,Fund Balance Change Quartile,Operating Margin,Operating Margin Quartile,Debt Service Coverage Ratio,Debt Service Coverage Ratio Quartile,Days Cash on Hand,Days Cash on Hand Quartile,Fund Balance as % of Revenue,Fund Balance as % of Revenue Quartile,Fund Balance as % of Expenditure,Fund Balance as % of Expenditure Quartile,Revenue/Expenditure Ratio,Revenue/Expenditure Ratio Quartile,Enrollment Trend,Enrollment Trend Quartile,Compensation Trend,Compensation Trend Quartile
"56","Midland County Educational Service Agency","56903","Academic and Career Education Academy","56","Midland","PSA District","High School","Rural: Fringe","2017","993418.04","933046.32","202225.47","0.00","107.80",,"103.85","2.8","1","42.56","1","6.08","1",,,"55.15","2.00","20.36","2","21.72","2","1.06","1","-40.62","4",,
"82","Wayne RESA","82921","Academy for Business and Technology","82","Wayne","PSA District","Elem thru High School","Suburb: Large","2017","6399165.98","6392263.61","597854.89","0.00","646.95",,"651.94","1.74","3","1.17","3","0.14","3","0.19","1","8.17","4.00","9.34","3","9.92","3","1","3","-2.06","3",,
"50","Macomb ISD","50040","Anchor Bay School District","74","St. Clair","LEA District","Elem thru High School","Suburb: Large","2017","56705062.48","57503720.70","5350089.81","0.00","5998.77","553.03","376.73","1.68","3","-12.99","4","-1.32","4","21.53","4","21.64","4.00","9.43","3","9.63","3","0.99","4","-2.3","3","0.67","2"
"81","Washtenaw ISD","81904","Ann Arbor Learning Community","81","Washtenaw","PSA District","Elem thru High School","Suburb: Large","2017","1343841.13","1369398.59","476564.39","0.00","130.83",,"130.46","6.15","1","-5.09","4","-1.9","4",,,"91.07","1.00","35.46","1","34.8","1","0.98","4","-20.33","4",,
"81","Washtenaw ISD","81010","Ann Arbor Public Schools","81","Washtenaw","LEA District","Elem thru High School","City: Midsize","2017","234579446.63","236206717.00","19880749.95","0.00","17500.50","1613.45","1527.27","1.69","3","-7.57","4","-0.69","4","11.55","3","33.62","3.00","8.48","3","8.5","3","0.99","4","2.02","2","25.35","4"
"13","Calhoun Intermediate School District","13901","Arbor Academy","13","Calhoun","PSA District","Elem_Middle School","City: Small","2017","1935532.30","1935532.30","0.00",,"227.66",,"228.00","1","4",,,"0.35","3",,,"14.57","4.00",,,,,"1","3","18.98","1",,
"09","Bay-Arenac ISD","06010","Arenac Eastern School District","06","Arenac","LEA District","Elem thru High School","Rural: Remote","2017","1706386.45","1776216.37","181216.72","0.00","114.98","135.52","15.00","1.41","3","-27.82","4","-3.5","4","11.51","3","43.48","3.00","10.62","3","10.4","3","0.96","4","-26.34","4","-1.59","2"
"50","Macomb ISD","50050","Armada Area Schools","50","Macomb","LEA District","Elem thru High School","Rural: Distant","2017","17244332.74","16615535.97","997631.51","0.00","1863.89","102.49","507.84","1.29","4","170.48","1","3.67","2","60.63","4","41.75","3.00","5.79","4","6.2","4","1.04","1","-1.93","3","-2.98","1"
"50","Macomb ISD","50905","Arts Academy in the Woods","50","Macomb","PSA District","Middle_High School","Suburb: Large","2017","3089879.20","3118275.22","316083.84","0.00","351.02",,"355.28","1.37","3","-8.24","4","5.16","1","6.22","1","61.79","2.00","10.23","3","10.92","3","0.99","4","-2.21","3","-7.66","1"
"63","Oakland Schools","63915","Arts and Technology Academy of Pontiac","63","Oakland","PSA District","Elem thru High School","City: Small","2017","7462412.00","7253768.00","987721.00","0.00","755.72",,"765.00","1.94","2","26.78","1","15.11","1","32.32","4","32.54","3.00","13.24","2","16.52","2","1.03","2","11.84","1","-46.01","1"
